# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.000000  ,0.000000  ,0.003374  ,0.100000  ,-0.003194 ,25.499297 
0.040000  ,0.218830  ,0.039390  ,0.361412  ,0.000000  ,0.000000  ,0.004766  ,0.100000  ,-0.003129 ,0.008611  
0.080000  ,0.240893  ,0.039565  ,0.741812  ,0.000000  ,0.000000  ,0.008563  ,0.100000  ,-0.002881 ,0.196462  
0.120000  ,0.278173  ,0.039706  ,1.122212  ,0.000000  ,0.000000  ,-0.004522 ,0.100000  ,-0.002495 ,0.349260  
0.160000  ,0.330670  ,0.039818  ,1.502612  ,0.000000  ,0.000000  ,-0.010301 ,0.190000  ,-0.001953 ,0.319777  
0.200000  ,0.398382  ,0.039842  ,1.883012  ,0.000000  ,0.000000  ,0.028729  ,0.190000  ,-0.001276 ,0.268486  
0.240000  ,0.481311  ,0.039699  ,2.263412  ,0.000000  ,0.000000  ,0.004491  ,0.190000  ,-0.000488 ,0.210093  
0.280000  ,0.579454  ,0.039294  ,2.643812  ,0.000000  ,0.000000  ,-0.009496 ,0.290000  ,0.000392  ,0.148607  
0.320000  ,0.692813  ,0.038620  ,3.024212  ,0.000000  ,0.000000  ,-0.024806 ,0.290000  ,0.001090  ,0.094732  
0.360000  ,0.821388  ,0.038196  ,3.404612  ,0.000000  ,0.000000  ,-0.025580 ,0.390000  ,0.000732  ,0.024481  
0.400000  ,0.965181  ,0.038162  ,3.785012  ,0.000000  ,0.000000  ,0.002494  ,0.390000  ,-0.000084 ,0.033262  
0.440000  ,1.124189  ,0.038565  ,4.165412  ,0.000000  ,0.000000  ,-0.011957 ,0.490000  ,-0.000932 ,0.066488  
0.480000  ,1.298412  ,0.039138  ,4.545812  ,0.000000  ,0.000000  ,0.036710  ,0.580000  ,-0.001082 ,0.056815  
0.520000  ,1.487852  ,0.039485  ,4.926212  ,0.000000  ,0.000000  ,0.021283  ,0.680000  ,-0.000335 ,0.028742  
0.560000  ,1.692509  ,0.039380  ,5.306612  ,0.000000  ,0.000000  ,0.003304  ,0.680000  ,0.000752  ,-0.139700 
0.600000  ,1.912380  ,0.038731  ,5.687012  ,0.000000  ,0.000000  ,-0.013869 ,0.780000  ,0.001602  ,-0.192155 
0.640000  ,2.147468  ,0.038064  ,6.067412  ,0.000000  ,0.000000  ,0.002201  ,0.870000  ,0.001032  ,-0.069968 
0.680000  ,2.397224  ,0.037715  ,6.409984  ,0.000000  ,0.000000  ,0.018617  ,0.970000  ,-0.000227 ,0.132464  
0.720000  ,2.659493  ,0.037897  ,6.694807  ,0.000000  ,0.000000  ,-0.005146 ,1.170000  ,-0.001351 ,0.266266  
0.760000  ,2.932029  ,0.038087  ,6.924992  ,0.000000  ,0.000000  ,0.006184  ,1.260000  ,-0.000741 ,0.128311  
0.800000  ,3.212974  ,0.037923  ,7.116426  ,0.000000  ,0.000000  ,-0.017955 ,1.360000  ,0.000875  ,-0.163273 
0.840000  ,3.500788  ,0.037119  ,7.269692  ,0.000000  ,0.000000  ,-0.016688 ,1.460000  ,0.002448  ,-0.392392 
0.880000  ,3.794178  ,0.036197  ,7.396045  ,0.000000  ,0.000000  ,-0.012649 ,1.650000  ,0.001953  ,-0.260356 
0.920000  ,4.092177  ,0.035495  ,7.500741  ,0.000000  ,0.000000  ,-0.007102 ,1.750000  ,0.000165  ,0.098714  
0.960000  ,4.394002  ,0.035502  ,7.587882  ,0.000000  ,0.000000  ,0.021730  ,1.840000  ,-0.002146 ,0.484631  
1.000000  ,4.699099  ,0.036581  ,7.664698  ,0.000000  ,0.000000  ,0.014806  ,1.940000  ,-0.004144 ,0.734811  
1.040000  ,5.006960  ,0.038170  ,7.726688  ,0.000000  ,0.000000  ,0.005037  ,2.040000  ,-0.003739 ,0.550229  
1.080000  ,5.317038  ,0.039877  ,7.775972  ,0.000000  ,0.000000  ,0.040674  ,2.230000  ,-0.001807 ,0.093591  
1.120000  ,5.629041  ,0.041104  ,7.822840  ,0.000000  ,0.000000  ,-0.046877 ,2.330000  ,0.000790  ,-0.403241 
1.160000  ,5.942429  ,0.041362  ,7.845908  ,0.000000  ,0.000000  ,-0.012493 ,2.430000  ,0.003152  ,-0.758755 
1.200000  ,6.256782  ,0.041117  ,7.870979  ,0.000000  ,0.000000  ,-0.022822 ,2.520000  ,0.003012  ,-0.635368 
1.240000  ,6.572009  ,0.040668  ,7.889783  ,0.000000  ,0.000000  ,-0.006431 ,2.720000  ,0.001201  ,-0.189218 
1.280000  ,6.887979  ,0.040595  ,7.908159  ,0.000000  ,0.000000  ,-0.003631 ,2.820000  ,-0.001414 ,0.333490  
1.320000  ,7.204626  ,0.041410  ,7.923777  ,0.000000  ,0.000000  ,-0.023402 ,2.910000  ,-0.003864 ,0.726214  
