# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.000000  ,0.000000  ,0.033595  ,0.100000  ,0.030385  ,15.387783 
0.040000  ,0.218828  ,0.039392  ,0.361380  ,0.000000  ,0.000000  ,-0.020325 ,0.100000  ,-0.023601 ,0.008609  
0.080000  ,0.240890  ,0.039685  ,0.741780  ,0.000000  ,0.000000  ,0.013914  ,0.100000  ,0.010558  ,0.007410  
0.120000  ,0.278167  ,0.040032  ,1.122180  ,0.000000  ,0.000000  ,-0.045875 ,0.100000  ,-0.049086 ,0.189088  
0.160000  ,0.330657  ,0.040800  ,1.502580  ,0.000000  ,0.000000  ,-0.020918 ,0.190000  ,-0.024246 ,0.089897  
0.200000  ,0.398367  ,0.040933  ,1.882980  ,0.000000  ,0.000000  ,0.003974  ,0.190000  ,0.001942  ,0.346508  
0.240000  ,0.481294  ,0.040870  ,2.263380  ,0.000000  ,0.000000  ,0.011879  ,0.190000  ,0.010718  ,0.308377  
0.280000  ,0.579436  ,0.041307  ,2.643780  ,0.000000  ,0.000000  ,0.016968  ,0.290000  ,0.015570  ,0.062152  
0.320000  ,0.692791  ,0.042269  ,3.024180  ,0.000000  ,0.000000  ,-0.006299 ,0.290000  ,-0.008388 ,0.015325  
0.360000  ,0.821359  ,0.043685  ,3.404580  ,0.000000  ,0.000000  ,-0.014770 ,0.390000  ,-0.017498 ,0.019045  
0.400000  ,0.965144  ,0.044997  ,3.784980  ,0.000000  ,0.000000  ,0.014541  ,0.390000  ,0.012247  ,0.008307  
0.440000  ,1.124147  ,0.046112  ,4.165380  ,0.000000  ,0.000000  ,0.008170  ,0.490000  ,0.006511  ,0.029121  
0.480000  ,1.298364  ,0.047558  ,4.545780  ,0.000000  ,0.000000  ,-0.002454 ,0.580000  ,-0.004594 ,0.002949  
0.520000  ,1.487794  ,0.049466  ,4.926180  ,0.000000  ,0.000000  ,0.031886  ,0.680000  ,0.029017  ,0.062294  
0.560000  ,1.692440  ,0.051439  ,5.306580  ,0.000000  ,0.000000  ,-0.008178 ,0.680000  ,-0.010850 ,0.042129  
0.600000  ,1.912298  ,0.053803  ,5.686980  ,0.000000  ,0.000000  ,0.009568  ,0.780000  ,0.006611  ,0.039910  
0.640000  ,2.147373  ,0.056185  ,6.067380  ,0.000000  ,0.000000  ,-0.016390 ,0.870000  ,-0.019000 ,0.003371  
0.680000  ,2.397106  ,0.058900  ,6.409568  ,0.000000  ,0.000000  ,-0.062072 ,0.970000  ,-0.064961 ,0.014483  
