# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.124228  ,0.075285  ,0.000000  ,0.000000  ,0.000000  ,-0.005036 ,0.100000  ,-0.003323 ,30.494079 
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.000000  ,0.000000  ,-0.018467 ,0.100000  ,-0.003210 ,23.039470 
0.040000  ,0.218828  ,0.039390  ,0.361380  ,0.000000  ,0.000000  ,-0.028139 ,0.100000  ,-0.003144 ,0.008609  
0.080000  ,0.240891  ,0.039565  ,0.741780  ,0.000000  ,0.000000  ,-0.046506 ,0.100000  ,-0.002893 ,0.196471  
0.120000  ,0.278170  ,0.039706  ,1.122180  ,0.000000  ,0.000000  ,-0.003364 ,0.100000  ,-0.002502 ,0.349266  
0.160000  ,0.330665  ,0.039818  ,1.502580  ,0.000000  ,0.000000  ,0.015435  ,0.190000  ,-0.001952 ,0.319782  
0.200000  ,0.398376  ,0.039842  ,1.882980  ,0.000000  ,0.000000  ,-0.032595 ,0.190000  ,-0.001267 ,0.268491  
0.240000  ,0.481303  ,0.039699  ,2.263380  ,0.000000  ,0.000000  ,0.079051  ,0.190000  ,-0.000466 ,0.210098  
0.280000  ,0.579445  ,0.039294  ,2.643780  ,0.000000  ,0.000000  ,0.030024  ,0.290000  ,0.000427  ,0.148612  
0.320000  ,0.692802  ,0.038524  ,3.024180  ,0.000000  ,0.000000  ,-0.007634 ,0.290000  ,0.001393  ,0.086454  
0.360000  ,0.821371  ,0.037282  ,3.404580  ,0.000000  ,0.000000  ,-0.013314 ,0.390000  ,0.002409  ,0.025509  
0.400000  ,0.965152  ,0.035551  ,3.784980  ,0.000000  ,0.000000  ,-0.048343 ,0.390000  ,0.003196  ,-0.012374 
0.440000  ,1.124150  ,0.033868  ,4.165380  ,0.000000  ,0.000000  ,-0.033678 ,0.490000  ,0.002781  ,-0.001893 
0.480000  ,1.298367  ,0.032445  ,4.545780  ,0.000000  ,0.000000  ,-0.019425 ,0.580000  ,0.001840  ,0.070120  
0.520000  ,1.487804  ,0.031438  ,4.926180  ,0.000000  ,0.000000  ,0.041697  ,0.680000  ,0.000760  ,0.148303  
0.560000  ,1.692458  ,0.030989  ,5.306580  ,0.000000  ,0.000000  ,0.039625  ,0.680000  ,-0.000321 ,0.210506  
0.600000  ,1.912329  ,0.031218  ,5.686980  ,0.000000  ,0.000000  ,-0.010078 ,0.780000  ,-0.001360 ,0.256232  
0.640000  ,2.147414  ,0.032228  ,6.067380  ,0.000000  ,0.000000  ,-0.024050 ,0.870000  ,-0.002351 ,0.290015  
0.680000  ,2.397155  ,0.034006  ,6.409568  ,0.000000  ,0.000000  ,-0.004797 ,0.970000  ,-0.003036 ,0.279704  
0.720000  ,2.659334  ,0.035898  ,6.691168  ,0.000000  ,0.000000  ,0.007495  ,1.170000  ,-0.002206 ,0.087727  
0.760000  ,2.931752  ,0.037466  ,6.922908  ,0.000000  ,0.000000  ,-0.054114 ,1.260000  ,-0.000580 ,0.191680  
0.800000  ,3.212598  ,0.038291  ,7.113617  ,0.000000  ,0.000000  ,0.022869  ,1.360000  ,0.001275  ,-0.444378 
0.840000  ,3.500376  ,0.038010  ,7.270559  ,0.000000  ,0.000000  ,0.029432  ,1.460000  ,0.003153  ,-0.638399 
0.880000  ,3.793855  ,0.036342  ,7.399713  ,0.000000  ,0.000000  ,-0.022476 ,1.650000  ,0.005021  ,-0.783599 
0.920000  ,4.092018  ,0.033213  ,7.505999  ,0.000000  ,0.000000  ,0.018961  ,1.750000  ,0.006478  ,-0.830637 
0.960000  ,4.394036  ,0.029415  ,7.593466  ,0.000000  ,0.000000  ,-0.010239 ,1.840000  ,0.005668  ,-0.528209 
1.000000  ,4.699233  ,0.025494  ,7.665447  ,0.000000  ,0.000000  ,0.009307  ,1.940000  ,0.003511  ,-0.029079 
1.040000  ,5.007053  ,0.022107  ,7.724682  ,0.000000  ,0.000000  ,-0.009826 ,2.040000  ,0.000840  ,0.462487  
1.080000  ,5.317037  ,0.019899  ,7.773430  ,0.000000  ,0.000000  ,-0.034777 ,2.230000  ,-0.001936 ,0.860509  
1.120000  ,5.628800  ,0.019389  ,7.813546  ,0.000000  ,0.000000  ,-0.009834 ,2.330000  ,-0.004657 ,1.152861  
1.160000  ,5.942017  ,0.020960  ,7.846559  ,0.000000  ,0.000000  ,0.002088  ,2.430000  ,-0.007289 ,1.356966  
1.200000  ,6.256416  ,0.024728  ,7.873727  ,0.000000  ,0.000000  ,-0.009605 ,2.520000  ,-0.009379 ,1.420786  
1.240000  ,6.571785  ,0.029854  ,7.896085  ,0.000000  ,0.000000  ,0.017838  ,2.720000  ,-0.008862 ,1.057528  
1.280000  ,6.887952  ,0.035730  ,7.914484  ,0.000000  ,0.000000  ,-0.015749 ,2.820000  ,-0.006693 ,0.436506  
1.320000  ,7.204790  ,0.041555  ,7.929626  ,0.000000  ,0.000000  ,-0.050510 ,2.910000  ,-0.003783 ,0.204528  
1.360000  ,7.522193  ,0.046506  ,7.942086  ,0.000000  ,0.000000  ,-0.016682 ,3.010000  ,-0.000634 ,0.750258  
1.400000  ,7.840070  ,0.049884  ,7.952340  ,0.000000  ,0.000000  ,-0.029083 ,3.200000  ,0.002512  ,-1.168647 
1.440000  ,8.158334  ,0.051153  ,7.960779  ,0.000000  ,0.000000  ,0.003154  ,3.300000  ,0.005558  ,-1.467554 
1.480000  ,8.476905  ,0.049927  ,7.967723  ,0.000000  ,0.000000  ,0.015150  ,3.500000  ,0.008484  ,-1.669935 
1.520000  ,8.795708  ,0.046105  ,7.973438  ,0.000000  ,0.000000  ,-0.000387 ,3.590000  ,0.010821  ,-1.722536 
1.560000  ,9.114694  ,0.040561  ,7.978141  ,0.000000  ,0.000000  ,0.008323  ,3.690000  ,0.010461  ,-1.327263 
1.600000  ,9.433831  ,0.033939  ,7.982011  ,0.000000  ,0.000000  ,0.006822  ,3.790000  ,0.008394  ,-0.656224 
1.640000  ,9.753103  ,0.027101  ,7.985196  ,0.000000  ,0.000000  ,-0.005375 ,3.980000  ,0.004782  ,0.044149  
1.680000  ,10.072506 ,0.020940  ,7.987818  ,0.000000  ,0.000000  ,0.017229  ,4.080000  ,0.004451  ,0.649593  
1.720000  ,10.392028 ,0.016233  ,7.989975  ,0.000000  ,0.000000  ,0.003201  ,4.170000  ,-0.016554 ,1.121092  
1.760000  ,10.711652 ,0.013579  ,7.991750  ,0.000000  ,0.000000  ,0.018093  ,4.270000  ,-0.020772 ,1.462488  
1.800000  ,11.031351 ,0.013416  ,7.993210  ,0.000000  ,0.000000  ,-0.013517 ,4.470000  ,-0.008267 ,1.695505  
1.840000  ,11.351094 ,0.015881  ,7.994413  ,0.000000  ,0.000000  ,-0.036600 ,4.560000  ,-0.009536 ,1.767177  
1.880000  ,11.670862 ,0.020121  ,7.995402  ,0.000000  ,0.000000  ,0.047506  ,4.660000  ,-0.009590 ,1.378760  
1.920000  ,11.990650 ,0.025502  ,7.996216  ,0.000000  ,0.000000  ,0.016328  ,4.850000  ,-0.007453 ,0.704901  
1.960000  ,12.310462 ,0.031158  ,7.996886  ,0.000000  ,0.000000  ,-0.015774 ,4.950000  ,-0.004551 ,0.004347  
2.000000  ,12.630309 ,0.036184  ,7.997437  ,0.000000  ,0.000000  ,-0.031889 ,5.050000  ,-0.001274 ,0.621351  
2.040000  ,12.950195 ,0.039792  ,7.997891  ,0.000000  ,0.000000  ,0.009043  ,5.150000  ,0.001977  ,-1.104497 
2.080000  ,13.270114 ,0.041365  ,7.998265  ,0.000000  ,0.000000  ,0.012574  ,5.340000  ,0.005056  ,-1.455993 
2.120000  ,13.590049 ,0.040456  ,7.998572  ,0.000000  ,0.000000  ,0.011031  ,5.440000  ,0.010316  ,-1.696801 
2.160000  ,13.909977 ,0.036915  ,7.998825  ,0.000000  ,0.000000  ,0.004553  ,5.530000  ,-0.005184 ,-1.773737 
2.200000  ,14.229889 ,0.031593  ,7.999033  ,0.000000  ,0.000000  ,0.004930  ,5.730000  ,-0.005729 ,-1.387787 
2.240000  ,14.549789 ,0.025119  ,7.999204  ,0.000000  ,0.000000  ,-0.004848 ,5.830000  ,0.010902  ,-0.714098 
2.280000  ,14.869685 ,0.018199  ,7.999345  ,0.000000  ,0.000000  ,-0.042776 ,5.920000  ,0.006710  ,-0.082650 
2.320000  ,15.189573 ,0.010695  ,7.999461  ,0.000000  ,0.000000  ,-0.007411 ,6.020000  ,-0.008600 ,0.054920  
2.360000  ,15.509456 ,0.002803  ,7.999556  ,0.000000  ,0.000000  ,0.005482  ,6.210000  ,0.005492  ,-0.109023 
2.400000  ,15.829351 ,-0.004747 ,7.999635  ,0.000000  ,0.000000  ,-0.005984 ,6.310000  ,-0.006491 ,-0.013312 
2.440000  ,16.149259 ,-0.011852 ,7.999700  ,0.000000  ,0.000000  ,0.013389  ,6.410000  ,-0.013276 ,0.246266  
2.480000  ,16.469169 ,-0.018966 ,7.999753  ,0.000000  ,0.000000  ,-0.053852 ,6.500000  ,-0.012531 ,0.250715  
2.520000  ,16.789094 ,-0.025434 ,7.999797  ,0.000000  ,0.000000  ,-0.004555 ,6.700000  ,-0.012681 ,0.299652  
2.560000  ,17.109019 ,-0.032003 ,7.999833  ,0.000000  ,0.000000  ,-0.026415 ,6.800000  ,-0.011831 ,0.111581  
2.600000  ,17.428936 ,-0.039051 ,7.999862  ,0.000000  ,0.000000  ,-0.026310 ,6.990000  ,-0.015840 ,-0.282394 
2.640000  ,17.748829 ,-0.047082 ,7.999887  ,0.000000  ,0.000000  ,0.050029  ,7.090000  ,-0.008165 ,-0.719966 
2.680000  ,18.068682 ,-0.056655 ,7.999907  ,0.000000  ,0.000000  ,-0.012534 ,7.180000  ,-0.004604 ,-1.110368 
