# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.000000  ,0.000000  ,0.000000  ,0.100000  ,-0.003194 ,9.785917  
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.000000  ,0.000000  ,-0.000000 ,0.100000  ,-0.003194 ,0.722556  
0.040000  ,0.211887  ,0.039303  ,0.000000  ,0.000000  ,0.000000  ,-0.000000 ,0.100000  ,-0.003194 ,0.722556  
0.080000  ,0.218828  ,0.039390  ,0.361380  ,0.000000  ,0.000000  ,-0.000000 ,0.100000  ,-0.003129 ,0.008609  
0.120000  ,0.240891  ,0.039565  ,0.741780  ,0.000000  ,0.000000  ,0.000000  ,0.100000  ,-0.002881 ,0.196471  
0.160000  ,0.278170  ,0.039706  ,1.122180  ,0.000000  ,0.000000  ,-0.000000 ,0.100000  ,-0.002496 ,0.349266  
0.200000  ,0.330665  ,0.039818  ,1.502580  ,0.000000  ,0.000000  ,-0.000000 ,0.190000  ,-0.001953 ,0.319782  
0.240000  ,0.398376  ,0.039842  ,1.882980  ,0.000000  ,0.000000  ,0.000000  ,0.190000  ,-0.001277 ,0.268491  
0.280000  ,0.481303  ,0.039699  ,2.263380  ,0.000000  ,0.000000  ,-0.000000 ,0.190000  ,-0.000488 ,0.210098  
0.320000  ,0.579445  ,0.039294  ,2.643780  ,0.000000  ,0.000000  ,0.000000  ,0.290000  ,0.000392  ,0.148612  
0.360000  ,0.692802  ,0.038524  ,3.024180  ,0.000000  ,0.000000  ,0.000000  ,0.290000  ,0.001342  ,0.086454  
0.400000  ,0.821372  ,0.037378  ,3.404580  ,0.000000  ,0.000000  ,0.000000  ,0.390000  ,0.002085  ,0.040516  
0.440000  ,0.965160  ,0.036382  ,3.784980  ,0.000000  ,0.000000  ,-0.000000 ,0.390000  ,0.001704  ,0.013002  
0.480000  ,1.124165  ,0.035713  ,4.165380  ,0.000000  ,0.000000  ,-0.000000 ,0.490000  ,0.000833  ,0.053629  
0.520000  ,1.298388  ,0.035496  ,4.545780  ,0.000000  ,0.000000  ,0.000000  ,0.580000  ,-0.000189 ,0.115065  
0.560000  ,1.487827  ,0.035857  ,4.926180  ,0.000000  ,0.000000  ,-0.000000 ,0.680000  ,-0.001239 ,0.171831  
0.600000  ,1.692480  ,0.036815  ,5.306580  ,0.000000  ,0.000000  ,0.000000  ,0.680000  ,-0.002001 ,0.184885  
0.640000  ,1.912349  ,0.037803  ,5.686980  ,0.000000  ,0.000000  ,-0.000000 ,0.780000  ,-0.001403 ,0.060556  
0.680000  ,2.147435  ,0.038492  ,6.067380  ,0.000000  ,0.000000  ,-0.000000 ,0.870000  ,-0.000199 ,0.122121  
0.720000  ,2.397182  ,0.038599  ,6.409568  ,0.000000  ,0.000000  ,-0.000000 ,0.970000  ,0.001100  ,-0.272263 
0.760000  ,2.659367  ,0.037877  ,6.691168  ,0.000000  ,0.000000  ,0.000000  ,1.170000  ,0.002409  ,-0.385608 
0.800000  ,2.931785  ,0.036249  ,6.922908  ,0.000000  ,0.000000  ,-0.000000 ,1.260000  ,0.003406  ,-0.426308 
0.840000  ,3.212625  ,0.034401  ,7.113617  ,0.000000  ,0.000000  ,-0.000000 ,1.360000  ,0.002572  ,-0.203062 
0.880000  ,3.500400  ,0.032798  ,7.270559  ,0.000000  ,0.000000  ,-0.000000 ,1.460000  ,0.000719  ,0.158035  
0.920000  ,3.793882  ,0.031942  ,7.399713  ,0.000000  ,0.000000  ,0.000000  ,1.650000  ,-0.001461 ,0.498573  
0.960000  ,4.092061  ,0.032294  ,7.505999  ,0.000000  ,0.000000  ,-0.000000 ,1.750000  ,-0.003673 ,0.763506  
1.000000  ,4.394098  ,0.034071  ,7.593466  ,0.000000  ,0.000000  ,-0.000000 ,1.840000  ,-0.005407 ,0.885941  
1.040000  ,4.699310  ,0.036560  ,7.665447  ,0.000000  ,0.000000  ,0.000000  ,1.940000  ,-0.004765 ,0.610496  
1.080000  ,5.007137  ,0.039256  ,7.724682  ,0.000000  ,0.000000  ,-0.000000 ,2.040000  ,-0.002677 ,0.104022  
1.120000  ,5.317120  ,0.041494  ,7.773430  ,0.000000  ,0.000000  ,0.000000  ,2.230000  ,-0.000003 ,0.412391  
1.160000  ,5.628882  ,0.042605  ,7.813546  ,0.000000  ,0.000000  ,0.000000  ,2.330000  ,0.002817  ,-0.840112 
1.200000  ,5.942104  ,0.042110  ,7.846559  ,0.000000  ,0.000000  ,-0.000000 ,2.430000  ,0.005366  ,-1.121494 
1.240000  ,6.256520  ,0.040182  ,7.873727  ,0.000000  ,0.000000  ,-0.000000 ,2.520000  ,0.006336  ,-1.079799 
1.280000  ,6.571917  ,0.037407  ,7.896085  ,0.000000  ,0.000000  ,0.000000  ,2.720000  ,0.005159  ,-0.660940 
1.320000  ,6.888126  ,0.034397  ,7.914484  ,0.000000  ,0.000000  ,-0.000000 ,2.820000  ,0.002757  ,-0.076590 
1.360000  ,7.205007  ,0.031903  ,7.929626  ,0.000000  ,0.000000  ,-0.000000 ,2.910000  ,-0.000162 ,0.488819  
1.400000  ,7.522446  ,0.030651  ,7.942086  ,0.000000  ,0.000000  ,0.000000  ,3.010000  ,-0.003221 ,0.955315  
1.440000  ,7.840340  ,0.031082  ,7.952340  ,0.000000  ,0.000000  ,-0.000000 ,3.200000  ,-0.005772 ,1.228185  
1.480000  ,8.158604  ,0.032606  ,7.960779  ,0.000000  ,0.000000  ,0.000000  ,3.300000  ,-0.005643 ,1.002150  
1.520000  ,8.477171  ,0.034795  ,7.967723  ,0.000000  ,0.000000  ,-0.000000 ,3.500000  ,-0.003746 ,0.454092  
1.560000  ,8.795990  ,0.036943  ,7.973438  ,0.000000  ,0.000000  ,-0.000000 ,3.590000  ,-0.000996 ,0.160786  
1.600000  ,9.115022  ,0.038264  ,7.978141  ,0.000000  ,0.000000  ,-0.000000 ,3.690000  ,0.002098  ,-0.709159 
1.640000  ,9.434227  ,0.038056  ,7.982011  ,0.000000  ,0.000000  ,-0.000000 ,3.790000  ,0.005300  ,-1.144225 
1.680000  ,9.753565  ,0.035922  ,7.985196  ,0.000000  ,0.000000  ,0.000000  ,3.980000  ,0.007205  ,-1.384840 
1.720000  ,10.073008 ,0.032498  ,7.987818  ,0.000000  ,0.000000  ,-0.000000 ,4.080000  ,0.010112  ,-1.126521 
1.760000  ,10.392537 ,0.028254  ,7.989975  ,0.000000  ,0.000000  ,-0.000000 ,4.170000  ,-0.008583 ,-0.547166 
1.800000  ,10.712144 ,0.023933  ,7.991750  ,0.000000  ,0.000000  ,-0.000000 ,4.270000  ,-0.012293 ,0.096641  
1.840000  ,11.031822 ,0.020201  ,7.993210  ,0.000000  ,0.000000  ,0.000000  ,4.470000  ,-0.000571 ,0.591293  
1.880000  ,11.351557 ,0.016745  ,7.994413  ,0.000000  ,0.000000  ,-0.000000 ,4.560000  ,0.000560  ,0.566542  
1.920000  ,11.671336 ,0.013394  ,7.995402  ,0.000000  ,0.000000  ,-0.000000 ,4.660000  ,0.001843  ,0.175041  
1.960000  ,11.991149 ,0.009802  ,7.996216  ,0.000000  ,0.000000  ,-0.000000 ,4.850000  ,0.003967  ,-0.251224 
