# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,-0.065997 ,0.110000  ,-0.000995 ,29.178861 
0.040000  ,0.180309  ,0.195147  ,0.360752  ,0.000000  ,0.000000  ,0.069058  ,0.110000  ,-0.000955 ,0.008583  
0.080000  ,0.202347  ,0.195135  ,0.741152  ,0.000000  ,0.000000  ,-0.083771 ,0.110000  ,-0.000809 ,0.196637  
0.120000  ,0.239601  ,0.194957  ,1.121552  ,0.000000  ,0.000000  ,-0.150892 ,0.110000  ,-0.000638 ,0.349390  
0.160000  ,0.292070  ,0.194623  ,1.501952  ,0.000000  ,0.000000  ,0.065398  ,0.220000  ,-0.000388 ,0.319881  
0.200000  ,0.359754  ,0.194071  ,1.882352  ,0.000000  ,0.000000  ,-0.041203 ,0.220000  ,0.000180  ,0.268590  
0.240000  ,0.442653  ,0.193317  ,2.262752  ,0.000000  ,0.000000  ,-0.128311 ,0.220000  ,0.001528  ,0.198042  
0.280000  ,0.540769  ,0.192858  ,2.643152  ,0.000000  ,0.000000  ,0.017199  ,0.330000  ,0.003256  ,0.022946  
0.320000  ,0.654103  ,0.192754  ,3.023552  ,0.000000  ,0.000000  ,0.049674  ,0.330000  ,0.002080  ,-0.028641 
0.360000  ,0.782653  ,0.193048  ,3.403952  ,0.000000  ,0.000000  ,0.079146  ,0.440000  ,-0.011314 ,0.008150  
0.400000  ,0.926418  ,0.193729  ,3.784352  ,0.000000  ,0.000000  ,-0.034283 ,0.440000  ,-0.020491 ,0.016093  
0.440000  ,1.085399  ,0.194253  ,4.164752  ,0.000000  ,0.000000  ,-0.111648 ,0.550000  ,-0.020354 ,0.001695  
0.480000  ,1.259597  ,0.194403  ,4.545152  ,0.000000  ,0.000000  ,-0.176962 ,0.660000  ,-0.019416 ,-0.070967 
0.520000  ,1.449010  ,0.194026  ,4.925552  ,0.000000  ,0.000000  ,-0.058829 ,0.660000  ,0.005632  ,-0.148904 
0.560000  ,1.653638  ,0.193075  ,5.305952  ,0.000000  ,0.000000  ,0.163970  ,0.770000  ,0.000815  ,-0.176795 
0.600000  ,1.873482  ,0.192101  ,5.686352  ,0.000000  ,0.000000  ,-0.044991 ,0.880000  ,0.001585  ,-0.059859 
0.640000  ,2.108539  ,0.191427  ,6.065961  ,0.000000  ,0.000000  ,-0.090390 ,0.990000  ,0.000140  ,0.120409  
0.680000  ,2.357905  ,0.191337  ,6.392396  ,0.000000  ,0.000000  ,0.152611  ,1.100000  ,-0.001132 ,0.273916  
0.720000  ,2.620023  ,0.191968  ,6.704057  ,0.000000  ,0.000000  ,-0.036308 ,1.320000  ,-0.002412 ,0.334262  
0.760000  ,2.892781  ,0.192707  ,6.927087  ,0.000000  ,0.000000  ,-0.050092 ,1.430000  ,-0.001347 ,0.144602  
0.800000  ,3.173596  ,0.193118  ,7.108186  ,0.000000  ,0.000000  ,0.221167  ,1.540000  ,0.000369  ,-0.172964 
0.840000  ,3.461984  ,0.192889  ,7.305250  ,0.000000  ,0.000000  ,0.032356  ,1.650000  ,0.001971  ,-0.401593 
0.880000  ,3.756847  ,0.192526  ,7.433990  ,0.000000  ,0.000000  ,0.032496  ,1.760000  ,0.001399  ,-0.263247 
0.920000  ,4.056391  ,0.192388  ,7.539961  ,0.000000  ,0.000000  ,0.040373  ,1.980000  ,-0.000221 ,0.098554  
0.960000  ,4.359815  ,0.192822  ,7.628563  ,0.000000  ,0.000000  ,-0.287115 ,2.090000  ,-0.001655 ,0.416662  
1.000000  ,4.665265  ,0.193339  ,7.643493  ,0.000000  ,0.000000  ,-0.041855 ,2.210000  ,-0.010649 ,0.329223  
1.040000  ,4.972152  ,0.193676  ,7.699205  ,0.000000  ,0.000000  ,0.033906  ,2.320000  ,-0.021880 ,0.040169  
1.080000  ,5.281341  ,0.193359  ,7.758467  ,0.000000  ,0.000000  ,0.286710  ,2.540000  ,-0.017992 ,-0.468232 
1.120000  ,5.593604  ,0.191835  ,7.851997  ,0.000000  ,0.000000  ,-0.002391 ,2.650000  ,-0.015760 ,-0.819434 
1.160000  ,5.908198  ,0.188646  ,7.877779  ,0.000000  ,0.000000  ,0.128854  ,2.760000  ,-0.012080 ,-1.094127 
1.200000  ,6.224182  ,0.183432  ,7.922234  ,0.000000  ,0.000000  ,-0.027924 ,2.870000  ,-0.008571 ,-1.303348 
1.240000  ,6.541163  ,0.175922  ,7.931059  ,0.000000  ,0.000000  ,0.109223  ,3.090000  ,-0.003708 ,-1.467390 
1.280000  ,6.858897  ,0.165902  ,7.962605  ,0.000000  ,0.000000  ,0.021871  ,3.200000  ,-0.003418 ,-1.587042 
1.320000  ,7.177364  ,0.153215  ,7.973098  ,0.000000  ,0.000000  ,0.105088  ,3.310000  ,-0.003310 ,-1.672994 
1.360000  ,7.496394  ,0.137748  ,7.996468  ,0.000000  ,0.000000  ,0.022326  ,3.420000  ,0.000817  ,-1.733200 
1.400000  ,7.815830  ,0.119585  ,8.001047  ,0.000000  ,0.000000  ,-0.154789 ,3.640000  ,0.019309  ,-1.703833 
1.440000  ,8.133253  ,0.099882  ,7.912227  ,0.000000  ,0.000000  ,0.037832  ,3.750000  ,-0.000270 ,-1.339906 
1.480000  ,8.449513  ,0.079021  ,7.934466  ,0.000000  ,0.000000  ,0.124499  ,3.970000  ,0.005455  ,-0.783405 
1.520000  ,8.766806  ,0.056780  ,7.968113  ,0.000000  ,0.000000  ,0.088420  ,4.080000  ,0.017975  ,-0.471296 
1.560000  ,9.085180  ,0.034339  ,7.989415  ,0.000000  ,0.000000  ,-0.034760 ,4.190000  ,0.002314  ,-0.094832 
1.600000  ,9.403690  ,0.012389  ,7.975636  ,0.000000  ,0.000000  ,0.023238  ,4.300000  ,-0.016717 ,0.379492  
1.640000  ,9.722197  ,-0.008607 ,7.984065  ,0.000000  ,0.000000  ,-0.010228 ,4.520000  ,-0.022118 ,0.756788  
1.680000  ,10.040921 ,-0.029128 ,7.985075  ,0.000000  ,0.000000  ,-0.120952 ,4.630000  ,-0.011704 ,0.654119  
1.720000  ,10.358314 ,-0.049362 ,7.924644  ,0.000000  ,0.000000  ,0.144853  ,4.740000  ,-0.004993 ,0.221521  
1.760000  ,10.675437 ,-0.069922 ,7.963634  ,0.000000  ,0.000000  ,0.312053  ,4.960000  ,-0.038125 ,-0.301124 
1.800000  ,10.994515 ,-0.091637 ,8.025325  ,0.000000  ,0.000000  ,-0.082264 ,5.070000  ,-0.049622 ,-0.770168 
1.840000  ,11.313219 ,-0.115901 ,7.964004  ,0.000000  ,0.000000  ,-0.012241 ,5.180000  ,-0.025017 ,-1.581352 
1.880000  ,11.630624 ,-0.143969 ,7.968210  ,0.000000  ,0.000000  ,-0.106331 ,5.400000  ,-0.049622 ,-2.613627 
1.920000  ,11.946749 ,-0.176220 ,7.925724  ,0.000000  ,0.000000  ,0.131656  ,5.510000  ,-0.049622 ,-3.295185 
1.960000  ,12.262245 ,-0.214206 ,7.962187  ,0.000000  ,0.000000  ,0.027687  ,5.730000  ,-0.049622 ,-3.774900 
2.000000  ,12.577812 ,-0.258926 ,7.973784  ,0.000000  ,0.000000  ,-0.254597 ,5.840000  ,-0.055503 ,-4.208387 
2.040000  ,12.885162 ,-0.309715 ,7.620205  ,0.000000  ,0.000000  ,0.111338  ,5.950000  ,-0.049622 ,-5.651911 
2.080000  ,13.186039 ,-0.368604 ,7.707164  ,0.000000  ,0.000000  ,-0.157563 ,6.170000  ,-0.049622 ,-6.760381 
2.120000  ,13.486869 ,-0.438155 ,7.731115  ,0.000000  ,0.000000  ,-0.015816 ,6.280000  ,-0.041938 ,-6.734174 
2.160000  ,13.786534 ,-0.518134 ,7.775923  ,0.000000  ,0.000000  ,0.105786  ,6.500000  ,-0.037489 ,-6.348024 
2.200000  ,14.085494 ,-0.608188 ,7.834329  ,0.000000  ,0.000000  ,-0.011547 ,6.620000  ,-0.024019 ,-5.787339 
2.240000  ,14.383304 ,-0.707477 ,7.861618  ,0.000000  ,0.000000  ,0.072659  ,6.730000  ,-0.023958 ,-5.318745 
2.280000  ,14.679824 ,-0.814457 ,7.898984  ,0.000000  ,0.000000  ,0.212875  ,6.950000  ,-0.011459 ,-4.678102 
2.320000  ,14.975806 ,-0.928241 ,7.954561  ,0.000000  ,0.000000  ,-0.037935 ,7.060000  ,-0.029816 ,-3.828512 
2.360000  ,15.270808 ,-1.047528 ,7.955890  ,0.000000  ,0.000000  ,-0.142788 ,7.170000  ,0.052036  ,-3.093612 
2.400000  ,15.560752 ,-1.169461 ,7.792444  ,0.000000  ,0.000000  ,-0.070650 ,7.390000  ,0.049622  ,-2.777980 
2.440000  ,15.847735 ,-1.292374 ,7.816684  ,0.000000  ,0.000000  ,0.094350  ,7.500000  ,0.056678  ,-1.807604 
2.480000  ,16.132189 ,-1.414605 ,7.681171  ,0.000000  ,0.000000  ,0.006128  ,7.610000  ,0.081206  ,-0.242747 
2.520000  ,16.408217 ,-1.531185 ,7.300771  ,0.000000  ,0.000000  ,0.056157  ,7.830000  ,0.223078  ,1.787018  
2.560000  ,16.672255 ,-1.636901 ,6.920371  ,0.000000  ,0.000000  ,-0.083744 ,8.050000  ,0.188826  ,4.941013  
2.600000  ,16.926064 ,-1.726526 ,6.539971  ,0.000000  ,0.000000  ,-0.168637 ,8.160000  ,0.121995  ,10.226742 
2.640000  ,17.170962 ,-1.793575 ,6.159571  ,0.000000  ,0.000000  ,0.155719  ,8.270000  ,0.187055  ,17.984471 
2.680000  ,17.406330 ,-1.832858 ,5.779171  ,0.000000  ,0.000000  ,0.018148  ,8.380000  ,0.113366  ,26.798142 
2.720000  ,17.631005 ,-1.834871 ,5.507073  ,0.000000  ,0.000000  ,-0.027983 ,8.490000  ,-0.024507 ,34.977754 
2.760000  ,17.853860 ,-1.789187 ,5.887473  ,0.000000  ,0.000000  ,0.086600  ,8.710000  ,-0.007240 ,28.537754 
2.800000  ,18.081868 ,-1.705192 ,6.263776  ,0.000000  ,0.000000  ,0.078570  ,8.820000  ,0.060087  ,14.494613 
2.840000  ,18.314621 ,-1.602279 ,6.455618  ,0.000000  ,0.000000  ,0.000691  ,8.930000  ,0.156628  ,4.489977  
