# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,-0.000820 ,0.110000  ,-0.001959 ,28.122839 
0.040000  ,0.180331  ,0.195147  ,0.361380  ,0.000000  ,0.000000  ,0.017403  ,0.110000  ,0.016305  ,0.008609  
0.080000  ,0.202394  ,0.195222  ,0.741780  ,0.000000  ,0.000000  ,0.002219  ,0.110000  ,0.001101  ,0.007410  
0.120000  ,0.239672  ,0.195591  ,1.122180  ,0.000000  ,0.000000  ,-0.009073 ,0.110000  ,-0.010745 ,0.286367  
0.160000  ,0.292164  ,0.196143  ,1.502580  ,0.000000  ,0.000000  ,-0.021943 ,0.220000  ,-0.024215 ,0.252562  
0.200000  ,0.359875  ,0.196396  ,1.882980  ,0.000000  ,0.000000  ,0.007312  ,0.220000  ,0.005301  ,0.054199  
0.240000  ,0.442802  ,0.196464  ,2.263380  ,0.000000  ,0.000000  ,0.000704  ,0.220000  ,-0.000108 ,0.127561  
0.280000  ,0.540944  ,0.196826  ,2.643780  ,0.000000  ,0.000000  ,0.002434  ,0.330000  ,0.003456  ,0.000846  
0.320000  ,0.654303  ,0.197057  ,3.024180  ,0.000000  ,0.000000  ,0.007876  ,0.330000  ,0.008743  ,0.028644  
0.360000  ,0.782877  ,0.197623  ,3.404580  ,0.000000  ,0.000000  ,-0.006783 ,0.440000  ,-0.018389 ,0.007102  
0.400000  ,0.926665  ,0.198594  ,3.784980  ,0.000000  ,0.000000  ,0.027320  ,0.440000  ,0.006095  ,0.010539  
0.440000  ,1.085669  ,0.199519  ,4.165380  ,0.000000  ,0.000000  ,-0.010902 ,0.550000  ,-0.032284 ,0.019540  
0.480000  ,1.259888  ,0.200731  ,4.545780  ,0.000000  ,0.000000  ,0.007628  ,0.660000  ,-0.013431 ,0.010031  
0.520000  ,1.449327  ,0.201196  ,4.926180  ,0.000000  ,0.000000  ,0.006140  ,0.660000  ,0.010240  ,0.137126  
0.560000  ,1.653982  ,0.200913  ,5.306580  ,0.000000  ,0.000000  ,-0.019115 ,0.770000  ,-0.018930 ,-0.248996 
0.600000  ,1.873852  ,0.200434  ,5.686980  ,0.000000  ,0.000000  ,0.001592  ,0.880000  ,0.002958  ,-0.176799 
0.640000  ,2.108938  ,0.199512  ,6.067380  ,0.000000  ,0.000000  ,0.002175  ,0.990000  ,0.003431  ,-0.106999 
0.680000  ,2.358684  ,0.198713  ,6.409568  ,0.000000  ,0.000000  ,0.021009  ,1.100000  ,0.021499  ,0.033412  
0.720000  ,2.620869  ,0.198394  ,6.691168  ,0.000000  ,0.000000  ,0.011086  ,1.320000  ,0.009902  ,0.225759  
0.760000  ,2.893291  ,0.198869  ,6.922908  ,0.000000  ,0.000000  ,0.021644  ,1.430000  ,0.019145  ,0.405240  
0.800000  ,3.174134  ,0.200412  ,7.113617  ,0.000000  ,0.000000  ,0.003239  ,1.540000  ,-0.000894 ,0.552649  
0.840000  ,3.461900  ,0.203115  ,7.270559  ,0.000000  ,0.000000  ,-0.001633 ,1.650000  ,-0.007026 ,0.611746  
0.880000  ,3.755367  ,0.206244  ,7.399713  ,0.000000  ,0.000000  ,-0.022190 ,1.760000  ,-0.026820 ,0.352895  
0.920000  ,4.053530  ,0.209300  ,7.505999  ,0.000000  ,0.000000  ,-0.018323 ,1.980000  ,-0.020777 ,0.080260  
0.960000  ,4.355563  ,0.211697  ,7.593466  ,0.000000  ,0.000000  ,-0.016910 ,2.090000  ,-0.016554 ,-0.500694 
1.000000  ,4.660783  ,0.212879  ,7.665447  ,0.000000  ,0.000000  ,-0.004871 ,2.210000  ,-0.010229 ,-0.835111 
1.040000  ,4.968620  ,0.212401  ,7.724682  ,0.000000  ,0.000000  ,0.014020  ,2.320000  ,-0.002073 ,-1.078295 
1.080000  ,5.278602  ,0.209939  ,7.773430  ,0.000000  ,0.000000  ,0.004741  ,2.540000  ,-0.007517 ,-1.249575 
1.120000  ,5.590330  ,0.205260  ,7.813546  ,0.000000  ,0.000000  ,-0.004477 ,2.650000  ,-0.014482 ,-1.371726 
1.160000  ,5.903472  ,0.198200  ,7.846559  ,0.000000  ,0.000000  ,0.011320  ,2.760000  ,0.004839  ,-1.463061 
1.200000  ,6.217753  ,0.188789  ,7.873727  ,0.000000  ,0.000000  ,-0.005409 ,2.870000  ,-0.008990 ,-1.459680 
1.240000  ,6.532971  ,0.177801  ,7.896085  ,0.000000  ,0.000000  ,0.025768  ,3.090000  ,0.023845  ,-1.137539 
1.280000  ,6.848935  ,0.165017  ,7.914484  ,0.000000  ,0.000000  ,0.005687  ,3.200000  ,0.001082  ,-0.887747 
