# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.123571  ,0.277336  ,0.000000  ,0.000000  ,0.000000  ,-0.026458 ,0.110000  ,-0.001288 ,65.749515 
0.000000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,0.022154  ,0.110000  ,-0.001139 ,59.020908 
0.040000  ,0.180331  ,0.195147  ,0.361380  ,0.000000  ,0.000000  ,0.003350  ,0.110000  ,-0.001098 ,0.008609  
0.080000  ,0.202395  ,0.195135  ,0.741780  ,0.000000  ,0.000000  ,-0.006604 ,0.110000  ,-0.000945 ,0.196471  
0.120000  ,0.239673  ,0.194957  ,1.122180  ,0.000000  ,0.000000  ,-0.011963 ,0.110000  ,-0.000760 ,0.349266  
0.160000  ,0.292167  ,0.194622  ,1.502580  ,0.000000  ,0.000000  ,-0.032702 ,0.220000  ,-0.000489 ,0.319782  
0.200000  ,0.359876  ,0.194070  ,1.882980  ,0.000000  ,0.000000  ,-0.010336 ,0.220000  ,0.000095  ,0.268491  
0.240000  ,0.442799  ,0.193220  ,2.263380  ,0.000000  ,0.000000  ,-0.012923 ,0.220000  ,0.001666  ,0.210098  
0.280000  ,0.540934  ,0.191979  ,2.643780  ,0.000000  ,0.000000  ,-0.022934 ,0.330000  ,0.004554  ,0.148612  
0.320000  ,0.654281  ,0.190293  ,3.024180  ,0.000000  ,0.000000  ,0.052651  ,0.330000  ,0.004941  ,0.090595  
0.360000  ,0.782843  ,0.188470  ,3.404580  ,0.000000  ,0.000000  ,-0.027137 ,0.440000  ,-0.007289 ,0.034045  
0.400000  ,0.926625  ,0.186845  ,3.784980  ,0.000000  ,0.000000  ,0.010458  ,0.440000  ,-0.015025 ,0.023337  
0.440000  ,1.085627  ,0.185519  ,4.165380  ,0.000000  ,0.000000  ,-0.021053 ,0.550000  ,-0.016468 ,0.067908  
0.480000  ,1.259846  ,0.184393  ,4.545780  ,0.000000  ,0.000000  ,0.020588  ,0.660000  ,-0.017228 ,0.073806  
0.520000  ,1.449280  ,0.182903  ,4.926180  ,0.000000  ,0.000000  ,0.007333  ,0.660000  ,0.006208  ,-0.002017 
0.560000  ,1.653925  ,0.180844  ,5.306580  ,0.000000  ,0.000000  ,0.005290  ,0.770000  ,0.001914  ,-0.123233 
0.600000  ,1.873777  ,0.178015  ,5.686980  ,0.000000  ,0.000000  ,0.015127  ,0.880000  ,0.004378  ,-0.220424 
