# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,0.000000  ,0.110000  ,-0.000995 ,48.140229 
0.000000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,-0.000000 ,0.110000  ,-0.000995 ,0.234526  
0.040000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,0.000000  ,0.110000  ,-0.000995 ,0.234526  
0.080000  ,0.175006  ,0.195126  ,0.171180  ,0.000000  ,0.000000  ,0.000000  ,0.110000  ,-0.001001 ,0.000000  
0.120000  ,0.189461  ,0.195169  ,0.551580  ,0.000000  ,0.000000  ,-0.000000 ,0.110000  ,-0.000867 ,0.022913  
0.160000  ,0.219132  ,0.195063  ,0.931980  ,0.000000  ,0.000000  ,0.000000  ,0.110000  ,-0.000730 ,0.328365  
0.200000  ,0.264018  ,0.194813  ,1.312380  ,0.000000  ,0.000000  ,0.000000  ,0.110000  ,-0.000530 ,0.339587  
0.240000  ,0.324120  ,0.194378  ,1.692780  ,0.000000  ,0.000000  ,0.000000  ,0.220000  ,-0.000172 ,0.295432  
0.280000  ,0.399436  ,0.193688  ,2.073180  ,0.000000  ,0.000000  ,-0.000000 ,0.220000  ,0.000777  ,0.239867  
0.320000  ,0.489965  ,0.192655  ,2.453580  ,0.000000  ,0.000000  ,-0.000000 ,0.220000  ,0.003221  ,0.179574  
0.360000  ,0.595706  ,0.191180  ,2.833980  ,0.000000  ,0.000000  ,0.000000  ,0.330000  ,0.005623  ,0.117490  
0.400000  ,0.716662  ,0.189553  ,3.214380  ,0.000000  ,0.000000  ,0.000000  ,0.330000  ,0.000994  ,0.057480  
0.440000  ,0.852838  ,0.188154  ,3.594780  ,0.000000  ,0.000000  ,-0.000000 ,0.440000  ,-0.015505 ,0.020779  
0.480000  ,1.004234  ,0.187060  ,3.975180  ,0.000000  ,0.000000  ,0.000000  ,0.550000  ,-0.016743 ,0.054128  
0.520000  ,1.170847  ,0.186374  ,4.355580  ,0.000000  ,0.000000  ,0.000000  ,0.550000  ,-0.018412 ,0.104788  
0.560000  ,1.352678  ,0.185808  ,4.735980  ,0.000000  ,0.000000  ,0.000000  ,0.660000  ,0.002405  ,0.074629  
0.600000  ,1.549723  ,0.184892  ,5.116380  ,0.000000  ,0.000000  ,-0.000000 ,0.770000  ,0.002778  ,-0.032942 
0.640000  ,1.761981  ,0.183410  ,5.496780  ,0.000000  ,0.000000  ,-0.000000 ,0.880000  ,0.001716  ,-0.158735 
0.680000  ,1.989452  ,0.181568  ,5.877180  ,0.000000  ,0.000000  ,-0.000000 ,0.990000  ,0.002899  ,-0.136297 
0.720000  ,2.232055  ,0.179832  ,6.246803  ,0.000000  ,0.000000  ,-0.000000 ,1.100000  ,0.001595  ,0.029943  
0.760000  ,2.488321  ,0.178511  ,6.557222  ,0.000000  ,0.000000  ,0.000000  ,1.210000  ,0.000267  ,0.226385  
0.800000  ,2.755874  ,0.177927  ,6.812679  ,0.000000  ,0.000000  ,0.000000  ,1.320000  ,-0.001296 ,0.390553  
0.840000  ,3.032713  ,0.178347  ,7.022904  ,0.000000  ,0.000000  ,-0.000000 ,1.540000  ,-0.002703 ,0.520496  
0.880000  ,3.317190  ,0.179983  ,7.195908  ,0.000000  ,0.000000  ,-0.000000 ,1.650000  ,-0.004263 ,0.629371  
0.920000  ,3.607949  ,0.182457  ,7.338280  ,0.000000  ,0.000000  ,-0.000000 ,1.760000  ,-0.004465 ,0.515426  
0.960000  ,3.903884  ,0.185082  ,7.455443  ,0.000000  ,0.000000  ,-0.000000 ,1.870000  ,-0.002769 ,0.138516  
1.000000  ,4.204080  ,0.187334  ,7.551862  ,0.000000  ,0.000000  ,-0.000000 ,1.980000  ,-0.001281 ,0.305113  
1.040000  ,4.507786  ,0.188623  ,7.631209  ,0.000000  ,0.000000  ,0.000000  ,2.090000  ,0.004836  ,-0.685083 
1.080000  ,4.814380  ,0.188446  ,7.696506  ,0.000000  ,0.000000  ,-0.000000 ,2.320000  ,-0.015650 ,-0.970772 
1.120000  ,5.123341  ,0.186424  ,7.750243  ,0.000000  ,0.000000  ,-0.000000 ,2.430000  ,-0.013003 ,-1.173699 
1.160000  ,5.434242  ,0.182904  ,7.794464  ,0.000000  ,0.000000  ,0.000000  ,2.540000  ,-0.011199 ,-1.060822 
1.200000  ,5.746731  ,0.177984  ,7.830856  ,0.000000  ,0.000000  ,0.000000  ,2.650000  ,-0.011457 ,-0.841547 
