# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.173389  ,0.195120  ,0.000000  ,0.000000  ,0.000000  ,-0.002586 ,0.110000  ,-0.000989 ,37.472984 
0.040000  ,0.180331  ,0.195147  ,0.361380  ,0.000000  ,0.000000  ,-0.022908 ,0.220000  ,-0.001463 ,0.008609  
0.080000  ,0.202395  ,0.195135  ,0.741780  ,0.000000  ,0.000000  ,-0.100185 ,0.110000  ,-0.001059 ,0.196471  
0.120000  ,0.239673  ,0.194957  ,1.122180  ,0.000000  ,0.000000  ,0.073874  ,0.220000  ,-0.000897 ,0.349266  
0.160000  ,0.292167  ,0.194622  ,1.502580  ,0.000000  ,0.000000  ,0.149684  ,0.110000  ,0.000078  ,0.319782  
0.200000  ,0.359877  ,0.194118  ,1.882980  ,0.000000  ,0.000000  ,-0.049044 ,0.220000  ,0.001246  ,0.254128  
0.240000  ,0.442803  ,0.193692  ,2.263380  ,0.000000  ,0.000000  ,-0.056925 ,0.330000  ,0.003272  ,0.098614  
0.280000  ,0.540946  ,0.193602  ,2.643780  ,0.000000  ,0.000000  ,-0.015783 ,0.330000  ,0.002536  ,-0.026520 
0.320000  ,0.654305  ,0.193891  ,3.024180  ,0.000000  ,0.000000  ,-0.046888 ,0.330000  ,0.002055  ,0.045217  
0.360000  ,0.782878  ,0.194618  ,3.404580  ,0.000000  ,0.000000  ,-0.125935 ,0.330000  ,-0.004324 ,0.013022  
0.400000  ,0.926664  ,0.195781  ,3.784980  ,0.000000  ,0.000000  ,0.035509  ,0.550000  ,-0.026863 ,0.015127  
0.440000  ,1.085668  ,0.196837  ,4.165380  ,0.000000  ,0.000000  ,0.053021  ,0.550000  ,-0.024656 ,0.001793  
0.480000  ,1.259889  ,0.197571  ,4.545780  ,0.000000  ,0.000000  ,0.056155  ,0.550000  ,-0.017074 ,0.070732  
0.520000  ,1.449328  ,0.197829  ,4.926180  ,0.000000  ,0.000000  ,0.031309  ,0.660000  ,-0.012008 ,-0.148767 
0.560000  ,1.653983  ,0.197469  ,5.306580  ,0.000000  ,0.000000  ,-0.146525 ,0.770000  ,0.003801  ,-0.210737 
0.600000  ,1.873852  ,0.196465  ,5.686980  ,0.000000  ,0.000000  ,0.054885  ,0.770000  ,0.001004  ,-0.220075 
0.640000  ,2.108937  ,0.195392  ,6.067380  ,0.000000  ,0.000000  ,-0.003321 ,1.100000  ,0.001350  ,-0.073571 
0.680000  ,2.358683  ,0.194612  ,6.409568  ,0.000000  ,0.000000  ,0.050295  ,1.100000  ,0.000161  ,0.138116  
0.720000  ,2.620869  ,0.194465  ,6.691168  ,0.000000  ,0.000000  ,-0.102324 ,1.320000  ,-0.001644 ,0.323385  
0.760000  ,2.893290  ,0.195121  ,6.922908  ,0.000000  ,0.000000  ,-0.008139 ,1.430000  ,-0.002429 ,0.411684  
0.800000  ,3.174136  ,0.195953  ,7.113617  ,0.000000  ,0.000000  ,0.110864  ,1.540000  ,-0.001707 ,0.211006  
0.840000  ,3.461914  ,0.196528  ,7.270559  ,0.000000  ,0.000000  ,0.166517  ,1.650000  ,0.000135  ,-0.143647 
0.880000  ,3.755398  ,0.196492  ,7.399713  ,0.000000  ,0.000000  ,0.110813  ,1.760000  ,0.001817  ,-0.420030 
0.920000  ,4.053577  ,0.196328  ,7.505999  ,0.000000  ,0.000000  ,-0.048931 ,1.870000  ,0.001663  ,-0.303482 
0.960000  ,4.355619  ,0.196350  ,7.593466  ,0.000000  ,0.000000  ,-0.074214 ,2.090000  ,-0.000525 ,0.065015  
1.000000  ,4.660841  ,0.196904  ,7.665447  ,0.000000  ,0.000000  ,-0.317530 ,2.210000  ,-0.013056 ,0.401858  
1.040000  ,4.968679  ,0.197538  ,7.724682  ,0.000000  ,0.000000  ,-0.052946 ,2.320000  ,-0.018574 ,0.324235  
1.080000  ,5.278670  ,0.197996  ,7.773430  ,0.000000  ,0.000000  ,0.100982  ,2.430000  ,-0.019191 ,0.042410  
1.120000  ,5.590434  ,0.197795  ,7.813546  ,0.000000  ,0.000000  ,0.060793  ,2.650000  ,-0.021902 ,-0.476721 
1.160000  ,5.903653  ,0.196370  ,7.846559  ,0.000000  ,0.000000  ,0.073352  ,2.760000  ,-0.010854 ,-0.865275 
1.200000  ,6.218059  ,0.193219  ,7.873727  ,0.000000  ,0.000000  ,-0.151586 ,2.870000  ,-0.010687 ,-1.171757 
1.240000  ,6.533424  ,0.187947  ,7.896085  ,0.000000  ,0.000000  ,0.028410  ,2.980000  ,-0.005416 ,-1.397029 
1.280000  ,6.849552  ,0.180261  ,7.914484  ,0.000000  ,0.000000  ,-0.104875 ,3.200000  ,-0.008039 ,-1.556095 
1.320000  ,7.166275  ,0.169957  ,7.929626  ,0.000000  ,0.000000  ,-0.003684 ,3.420000  ,-0.023444 ,-1.666479 
1.360000  ,7.483447  ,0.156892  ,7.942086  ,0.000000  ,0.000000  ,-0.117359 ,3.420000  ,-0.002776 ,-1.743334 
1.400000  ,7.800941  ,0.140967  ,7.952340  ,0.000000  ,0.000000  ,-0.064562 ,3.640000  ,0.012399  ,-1.798072 
1.440000  ,8.118659  ,0.122272  ,7.960779  ,0.000000  ,0.000000  ,0.144084  ,3.750000  ,0.009410  ,-1.760311 
1.480000  ,8.436574  ,0.101793  ,7.967723  ,0.000000  ,0.000000  ,0.090280  ,3.860000  ,0.012858  ,-1.316566 
1.520000  ,8.754671  ,0.080239  ,7.973438  ,0.000000  ,0.000000  ,-0.080237 ,4.080000  ,0.022229  ,-0.624895 
1.560000  ,9.072964  ,0.058497  ,7.978141  ,0.000000  ,0.000000  ,0.006678  ,4.190000  ,-0.005406 ,0.079429  
1.600000  ,9.391465  ,0.037310  ,7.982011  ,0.000000  ,0.000000  ,-0.054214 ,4.300000  ,-0.025899 ,0.601390  
1.640000  ,9.710126  ,0.016404  ,7.985196  ,0.000000  ,0.000000  ,0.153295  ,4.520000  ,-0.026408 ,0.586077  
1.680000  ,10.028911 ,-0.004379 ,7.987818  ,0.000000  ,0.000000  ,0.053379  ,4.630000  ,0.002095  ,0.195644  
1.720000  ,10.347778 ,-0.025380 ,7.989975  ,0.000000  ,0.000000  ,0.109068  ,4.740000  ,-0.014509 ,-0.232807 
1.760000  ,10.666724 ,-0.046364 ,7.991750  ,0.000000  ,0.000000  ,-0.037978 ,4.850000  ,-0.032074 ,-0.312741 
1.800000  ,10.985674 ,-0.068247 ,7.993210  ,0.000000  ,0.000000  ,-0.025928 ,5.070000  ,-0.049622 ,-0.470536 
1.840000  ,11.304550 ,-0.091902 ,7.994413  ,0.000000  ,0.000000  ,0.102434  ,5.180000  ,-0.018311 ,-0.990763 
1.880000  ,11.623241 ,-0.118459 ,7.995402  ,0.000000  ,0.000000  ,0.001061  ,5.290000  ,-0.004959 ,-1.816553 
1.920000  ,11.941696 ,-0.148095 ,7.996216  ,0.000000  ,0.000000  ,-0.083526 ,5.510000  ,-0.049622 ,-2.358333 
1.960000  ,12.259805 ,-0.181518 ,7.996886  ,0.000000  ,0.000000  ,0.188518  ,5.730000  ,-0.054959 ,-2.635949 
2.000000  ,12.572272 ,-0.219531 ,7.771230  ,0.000000  ,0.000000  ,0.126261  ,5.840000  ,-0.056734 ,-3.583491 
2.040000  ,12.876282 ,-0.262987 ,7.605739  ,0.000000  ,0.000000  ,0.092990  ,5.950000  ,-0.049622 ,-5.109445 
2.080000  ,13.177566 ,-0.314505 ,7.675547  ,0.000000  ,0.000000  ,0.014737  ,6.170000  ,-0.087423 ,-5.931753 
2.120000  ,13.470989 ,-0.374034 ,7.295147  ,0.000000  ,0.000000  ,0.081192  ,6.280000  ,-0.067341 ,-7.416581 
2.160000  ,13.748914 ,-0.442505 ,7.049976  ,0.000000  ,0.000000  ,-0.069119 ,6.390000  ,-0.031893 ,-10.568269
2.200000  ,14.021673 ,-0.526570 ,7.218186  ,0.000000  ,0.000000  ,-0.005104 ,6.620000  ,0.009995  ,-11.244138
2.240000  ,14.295232 ,-0.627412 ,7.356613  ,0.000000  ,0.000000  ,-0.133118 ,6.730000  ,0.016181  ,-9.005364 
2.280000  ,14.569482 ,-0.740370 ,7.470530  ,0.000000  ,0.000000  ,-0.070757 ,6.840000  ,0.049622  ,-5.815780 
2.320000  ,14.845005 ,-0.860945 ,7.564278  ,0.000000  ,0.000000  ,0.012253  ,6.950000  ,0.020484  ,-2.826241 
2.360000  ,15.122836 ,-0.984734 ,7.641426  ,0.000000  ,0.000000  ,0.144983  ,7.170000  ,0.018375  ,-0.364999 
