# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.186748  ,0.177792  ,0.000000  ,0.000000  ,0.000000  ,-0.037411 ,0.120000  ,0.001715  ,-41.392127
0.040000  ,0.193673  ,0.177521  ,0.361024  ,0.000000  ,0.000000  ,-0.056553 ,0.120000  ,0.001644  ,0.008594  
0.080000  ,0.215708  ,0.176758  ,0.741424  ,0.000000  ,0.000000  ,-0.118109 ,0.120000  ,0.001380  ,-0.196565 
0.120000  ,0.252956  ,0.175625  ,1.121824  ,0.000000  ,0.000000  ,0.064501  ,0.120000  ,0.000977  ,-0.349336 
0.160000  ,0.305415  ,0.174115  ,1.502224  ,0.000000  ,0.000000  ,0.037426  ,0.240000  ,0.000375  ,-0.319838 
0.200000  ,0.373087  ,0.172286  ,1.882624  ,0.000000  ,0.000000  ,-0.028718 ,0.240000  ,-0.000280 ,-0.268547 
0.240000  ,0.455972  ,0.170124  ,2.263024  ,0.000000  ,0.000000  ,0.106487  ,0.240000  ,-0.000925 ,-0.198008 
0.280000  ,0.554055  ,0.167133  ,2.643424  ,0.000000  ,0.000000  ,-0.168028 ,0.370000  ,0.009437  ,-0.022956 
0.320000  ,0.667337  ,0.163346  ,3.023824  ,0.000000  ,0.000000  ,-0.101702 ,0.370000  ,0.012813  ,0.036888  
0.360000  ,0.795836  ,0.159350  ,3.404224  ,0.000000  ,0.000000  ,-0.007855 ,0.490000  ,0.005221  ,0.007039  
0.400000  ,0.939556  ,0.155310  ,3.784624  ,0.000000  ,0.000000  ,0.047646  ,0.490000  ,-0.001213 ,0.029437  
0.440000  ,1.098497  ,0.151233  ,4.165024  ,0.000000  ,0.000000  ,0.027402  ,0.610000  ,0.007809  ,0.054272  
0.480000  ,1.272646  ,0.146672  ,4.545424  ,0.000000  ,0.000000  ,0.108508  ,0.730000  ,-0.003454 ,0.040617  
0.520000  ,1.462012  ,0.141952  ,4.925824  ,0.000000  ,0.000000  ,-0.098401 ,0.860000  ,-0.003439 ,0.029909  
0.560000  ,1.666583  ,0.136601  ,5.306224  ,0.000000  ,0.000000  ,0.197003  ,0.980000  ,-0.000608 ,-0.034945 
0.600000  ,1.886352  ,0.130374  ,5.686624  ,0.000000  ,0.000000  ,0.150264  ,1.100000  ,0.013703  ,-0.148034 
0.640000  ,2.121314  ,0.123172  ,6.067024  ,0.000000  ,0.000000  ,0.220027  ,1.220000  ,-0.002442 ,-0.208854 
