# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.186748  ,0.177792  ,0.000000  ,0.000000  ,0.000000  ,-0.042485 ,0.120000  ,-0.040536 ,-45.842375
0.040000  ,0.193685  ,0.177519  ,0.361380  ,0.000000  ,0.000000  ,-0.062995 ,0.120000  ,-0.060868 ,-0.024109 
0.080000  ,0.215717  ,0.176361  ,0.741780  ,0.000000  ,0.000000  ,0.001725  ,0.120000  ,0.004641  ,0.582979  
0.120000  ,0.252917  ,0.173943  ,1.122180  ,0.000000  ,0.000000  ,-0.026103 ,0.120000  ,-0.021763 ,1.041225  
0.160000  ,0.305332  ,0.171041  ,1.502580  ,0.000000  ,0.000000  ,-0.057231 ,0.240000  ,-0.052289 ,0.397886  
0.200000  ,0.372940  ,0.167299  ,1.882980  ,0.000000  ,0.000000  ,0.042836  ,0.240000  ,0.048807  ,0.245290  
0.240000  ,0.455697  ,0.161989  ,2.263380  ,0.000000  ,0.000000  ,-0.025373 ,0.240000  ,-0.017245 ,0.363325  
0.280000  ,0.553653  ,0.155942  ,2.643780  ,0.000000  ,0.000000  ,-0.002429 ,0.370000  ,0.017812  ,0.193912  
0.320000  ,0.666822  ,0.149392  ,3.024180  ,0.000000  ,0.000000  ,-0.048782 ,0.370000  ,-0.025916 ,0.018434  
0.360000  ,0.795196  ,0.142198  ,3.404580  ,0.000000  ,0.000000  ,-0.016084 ,0.490000  ,-0.000792 ,-0.003787 
0.400000  ,0.938746  ,0.133877  ,3.784980  ,0.000000  ,0.000000  ,-0.004303 ,0.490000  ,0.007928  ,-0.009921 
0.440000  ,1.097467  ,0.124332  ,4.165380  ,0.000000  ,0.000000  ,0.022183  ,0.610000  ,0.051653  ,-0.032995 
0.480000  ,1.271390  ,0.114109  ,4.545780  ,0.000000  ,0.000000  ,0.046437  ,0.730000  ,0.058808  ,0.005815  
0.520000  ,1.460560  ,0.104023  ,4.926180  ,0.000000  ,0.000000  ,0.006254  ,0.860000  ,0.013306  ,0.202679  
0.560000  ,1.665002  ,0.094691  ,5.306580  ,0.000000  ,0.000000  ,-0.035424 ,0.980000  ,-0.024933 ,0.457724  
0.600000  ,1.884697  ,0.085905  ,5.686980  ,0.000000  ,0.000000  ,-0.024997 ,1.100000  ,-0.003711 ,0.508465  
0.640000  ,2.119612  ,0.076906  ,6.067380  ,0.000000  ,0.000000  ,-0.079074 ,1.220000  ,-0.078045 ,0.269129  
0.680000  ,2.369171  ,0.067200  ,6.409568  ,0.000000  ,0.000000  ,-0.037288 ,1.350000  ,-0.033214 ,-0.060887 
0.720000  ,2.631090  ,0.055396  ,6.691168  ,0.000000  ,0.000000  ,0.016946  ,1.470000  ,0.027845  ,-0.629703 
0.760000  ,2.903114  ,0.040686  ,6.922908  ,0.000000  ,0.000000  ,0.025521  ,1.710000  ,0.045454  ,-1.206989 
0.800000  ,3.183444  ,0.023668  ,7.113617  ,0.000000  ,0.000000  ,-0.030669 ,1.840000  ,-0.004637 ,-1.210388 
0.840000  ,3.470678  ,0.005967  ,7.270559  ,0.000000  ,0.000000  ,0.035897  ,1.960000  ,0.058992  ,-0.433036 
0.880000  ,3.763602  ,-0.012155 ,7.399713  ,0.000000  ,0.000000  ,-0.039009 ,2.080000  ,-0.018425 ,0.246385  
0.920000  ,4.061307  ,-0.028948 ,7.505999  ,0.000000  ,0.000000  ,-0.027917 ,2.330000  ,-0.012397 ,0.955519  
0.960000  ,4.362953  ,-0.044432 ,7.593466  ,0.000000  ,0.000000  ,0.045918  ,2.450000  ,0.060078  ,1.209268  
1.000000  ,4.667830  ,-0.058918 ,7.665447  ,0.000000  ,0.000000  ,0.028008  ,2.570000  ,0.021712  ,0.943293  
1.040000  ,4.975430  ,-0.071014 ,7.724682  ,0.000000  ,0.000000  ,0.010048  ,2.690000  ,-0.007943 ,1.098886  
1.080000  ,5.285259  ,-0.081048 ,7.773430  ,0.000000  ,0.000000  ,-0.011120 ,2.940000  ,-0.021140 ,1.329839  
1.120000  ,5.596898  ,-0.089893 ,7.813546  ,0.000000  ,0.000000  ,-0.040208 ,3.060000  ,-0.069134 ,1.063579  
1.160000  ,5.910013  ,-0.098052 ,7.846559  ,0.000000  ,0.000000  ,-0.011418 ,3.300000  ,-0.034572 ,0.463870  
1.200000  ,6.224288  ,-0.107662 ,7.873727  ,0.000000  ,0.000000  ,-0.053856 ,3.430000  ,-0.067743 ,-0.717748 
1.240000  ,6.539440  ,-0.120361 ,7.896085  ,0.000000  ,0.000000  ,0.011322  ,3.550000  ,-0.015085 ,-2.130422 
1.280000  ,6.855132  ,-0.138579 ,7.914484  ,0.000000  ,0.000000  ,-0.067976 ,3.790000  ,-0.061981 ,-3.638805 
1.320000  ,7.171109  ,-0.162573 ,7.929626  ,0.000000  ,0.000000  ,-0.003860 ,3.920000  ,0.007856  ,-4.369908 
1.360000  ,7.487013  ,-0.193703 ,7.942086  ,0.000000  ,0.000000  ,-0.024870 ,4.040000  ,0.016235  ,-4.673712 
1.400000  ,7.802698  ,-0.231096 ,7.952340  ,0.000000  ,0.000000  ,0.047576  ,4.280000  ,0.050947  ,-4.284602 
1.440000  ,8.118148  ,-0.273328 ,7.960779  ,0.000000  ,0.000000  ,0.014739  ,4.410000  ,0.007336  ,-3.202585 
1.480000  ,8.433557  ,-0.318129 ,7.967723  ,0.000000  ,0.000000  ,0.026364  ,4.650000  ,0.005182  ,-1.560419 
1.520000  ,8.749065  ,-0.364010 ,7.973438  ,0.000000  ,0.000000  ,0.039634  ,4.770000  ,0.001401  ,-0.092610 
1.560000  ,9.064852  ,-0.409411 ,7.978141  ,0.000000  ,0.000000  ,-0.049262 ,5.020000  ,-0.095967 ,0.896796  
1.600000  ,9.381030  ,-0.453263 ,7.982011  ,0.000000  ,0.000000  ,-0.023424 ,5.260000  ,-0.073047 ,1.402281  
1.640000  ,9.697298  ,-0.497496 ,7.985196  ,0.000000  ,0.000000  ,0.015868  ,5.390000  ,-0.033754 ,0.564984  
1.680000  ,10.013335 ,-0.544142 ,7.987818  ,0.000000  ,0.000000  ,-0.037233 ,5.510000  ,-0.086856 ,-1.331962 
1.720000  ,10.328869 ,-0.594668 ,7.989975  ,0.000000  ,0.000000  ,0.008878  ,5.630000  ,-0.040744 ,-3.129668 
1.760000  ,10.643329 ,-0.651905 ,7.991750  ,0.000000  ,0.000000  ,-0.032872 ,5.880000  ,-0.072639 ,-4.750478 
1.800000  ,10.956264 ,-0.717277 ,7.993210  ,0.000000  ,0.000000  ,-0.054137 ,6.120000  ,-0.090405 ,-5.872475 
1.840000  ,11.266971 ,-0.792726 ,7.994413  ,0.000000  ,0.000000  ,-0.005085 ,6.240000  ,-0.031842 ,-6.797386 
1.880000  ,11.574728 ,-0.879578 ,7.995402  ,0.000000  ,0.000000  ,-0.019753 ,6.490000  ,0.018541  ,-7.657904 
1.920000  ,11.879268 ,-0.977248 ,7.996216  ,0.000000  ,0.000000  ,0.001623  ,6.610000  ,0.042645  ,-7.737274 
1.960000  ,12.180836 ,-1.083846 ,7.996886  ,0.000000  ,0.000000  ,-0.005822 ,6.850000  ,0.016300  ,-6.534399 
2.000000  ,12.480108 ,-1.196811 ,7.997437  ,0.000000  ,0.000000  ,-0.023161 ,6.980000  ,-0.031932 ,-4.360298 
2.040000  ,12.777665 ,-1.314280 ,7.997891  ,0.000000  ,0.000000  ,-0.074582 ,7.220000  ,-0.087656 ,-2.311745 
2.080000  ,13.073865 ,-1.435174 ,7.998265  ,0.000000  ,0.000000  ,0.023673  ,7.340000  ,-0.006938 ,-1.316106 
2.120000  ,13.368391 ,-1.560123 ,7.998572  ,0.000000  ,0.000000  ,0.000844  ,7.590000  ,-0.058176 ,-1.831698 
2.160000  ,13.654557 ,-1.685724 ,7.645168  ,0.000000  ,0.000000  ,0.017810  ,7.710000  ,-0.031813 ,-3.220063 
2.200000  ,13.933427 ,-1.814329 ,7.707994  ,0.000000  ,0.000000  ,0.014536  ,7.830000  ,-0.018451 ,-4.383057 
2.240000  ,14.211639 ,-1.949659 ,7.759697  ,0.000000  ,0.000000  ,0.054221  ,8.080000  ,0.004599  ,-4.400175 
2.280000  ,14.488769 ,-2.091369 ,7.802244  ,0.000000  ,0.000000  ,-0.000156 ,8.200000  ,-0.049778 ,-3.845654 
2.320000  ,14.765142 ,-2.237887 ,7.837259  ,0.000000  ,0.000000  ,-0.058140 ,8.450000  ,-0.325808 ,-2.843266 
2.360000  ,15.033090 ,-2.385417 ,7.456859  ,0.000000  ,0.000000  ,-0.009549 ,8.570000  ,-0.339105 ,-2.960697 
2.400000  ,15.283556 ,-2.532866 ,7.076459  ,0.000000  ,0.000000  ,-0.040053 ,8.690000  ,-0.296461 ,-5.991393 
2.440000  ,15.511821 ,-2.686891 ,6.696059  ,0.000000  ,0.000000  ,-0.061301 ,8.940000  ,-0.243769 ,-13.677720
2.480000  ,15.710941 ,-2.854170 ,6.315659  ,0.000000  ,0.000000  ,-0.007872 ,9.060000  ,-0.057494 ,-26.082272
2.520000  ,15.879511 ,-3.050030 ,6.613886  ,0.000000  ,0.000000  ,0.031040  ,9.180000  ,0.023799  ,-29.047644
2.560000  ,16.021086 ,-3.279260 ,6.859310  ,0.000000  ,0.000000  ,-0.080601 ,9.420000  ,-0.084369 ,-21.227447
2.600000  ,16.143326 ,-3.529473 ,7.061280  ,0.000000  ,0.000000  ,0.019729  ,9.550000  ,-0.019245 ,-12.114553
2.640000  ,16.254458 ,-3.792841 ,7.227488  ,0.000000  ,0.000000  ,0.062680  ,9.670000  ,-0.015340 ,-5.508311 
2.680000  ,16.356315 ,-4.055253 ,6.847088  ,0.000000  ,0.000000  ,-0.049193 ,9.910000  ,-0.164021 ,-2.772399 
2.720000  ,16.448473 ,-4.305068 ,6.466688  ,0.000000  ,0.000000  ,0.012751  ,10.040000 ,-0.092663 ,-2.596355 
2.760000  ,16.528478 ,-4.543022 ,6.086288  ,0.000000  ,0.000000  ,-0.058970 ,10.160000 ,-0.142988 ,-4.884044 
2.800000  ,16.596391 ,-4.777002 ,6.096397  ,0.000000  ,0.000000  ,-0.016980 ,10.280000 ,-0.086982 ,-7.284999 
2.840000  ,16.651520 ,-5.016890 ,6.209089  ,0.000000  ,0.000000  ,0.002429  ,10.400000 ,-0.015061 ,-8.123291 
2.880000  ,16.695008 ,-5.268027 ,6.526186  ,0.000000  ,0.000000  ,0.072135  ,10.530000 ,0.078777  ,-6.870528 
2.920000  ,16.730743 ,-5.532036 ,6.787138  ,0.000000  ,0.000000  ,0.054439  ,10.650000 ,0.060284  ,-4.439830 
2.960000  ,16.763373 ,-5.806011 ,7.001886  ,0.000000  ,0.000000  ,0.033594  ,10.770000 ,0.021498  ,-1.786141 
3.000000  ,16.796572 ,-6.087779 ,7.178611  ,0.000000  ,0.000000  ,0.001662  ,10.890000 ,-0.028316 ,0.385131  
3.040000  ,16.831854 ,-6.375767 ,7.324045  ,0.000000  ,0.000000  ,-0.002682 ,11.140000 ,-0.038436 ,1.484278  
