# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.268715  ,0.279399  ,0.000000  ,0.000000  ,0.000000  ,-0.031628 ,0.120000  ,-0.002575 ,-48.366407
0.000000  ,0.268715  ,0.279399  ,0.000000  ,0.000000  ,0.000000  ,-0.051127 ,0.120000  ,-0.002575 ,-2.249676 
0.040000  ,0.268715  ,0.279399  ,0.000000  ,0.000000  ,0.000000  ,-0.015460 ,0.120000  ,-0.002575 ,-2.249676 
0.080000  ,0.268715  ,0.279399  ,0.000000  ,0.000000  ,0.000000  ,0.028038  ,0.120000  ,-0.002575 ,-2.249676 
0.120000  ,0.190549  ,0.177643  ,0.266280  ,0.000000  ,0.000000  ,-0.017689 ,0.120000  ,0.001985  ,125.274072
0.160000  ,0.208792  ,0.176877  ,0.646680  ,0.000000  ,0.000000  ,-0.015695 ,0.120000  ,0.002247  ,0.103255  
0.200000  ,0.242229  ,0.175284  ,1.027080  ,0.000000  ,0.000000  ,0.061287  ,0.120000  ,0.002724  ,0.348062  
0.240000  ,0.290862  ,0.172899  ,1.407480  ,0.000000  ,0.000000  ,0.001766  ,0.120000  ,0.003407  ,0.323834  
0.280000  ,0.354711  ,0.170179  ,1.787880  ,0.000000  ,0.000000  ,-0.015663 ,0.240000  ,0.003272  ,0.006568  
0.320000  ,0.433778  ,0.167193  ,2.168280  ,0.000000  ,0.000000  ,-0.045387 ,0.240000  ,0.002660  ,-0.133967 
0.360000  ,0.528061  ,0.163925  ,2.548680  ,0.000000  ,0.000000  ,0.041292  ,0.370000  ,0.012774  ,-0.134814 
0.400000  ,0.637560  ,0.160439  ,2.929080  ,0.000000  ,0.000000  ,-0.012860 ,0.370000  ,0.011571  ,-0.093768 
0.440000  ,0.762279  ,0.156830  ,3.309480  ,0.000000  ,0.000000  ,0.061372  ,0.490000  ,0.001660  ,-0.039870 
0.480000  ,0.902219  ,0.153204  ,3.689880  ,0.000000  ,0.000000  ,0.025575  ,0.490000  ,0.001876  ,0.016556  
0.520000  ,1.057382  ,0.149671  ,4.070280  ,0.000000  ,0.000000  ,0.048323  ,0.610000  ,0.002919  ,0.071197  
0.560000  ,1.227769  ,0.146342  ,4.450680  ,0.000000  ,0.000000  ,0.068017  ,0.730000  ,-0.005819 ,0.122061  
0.600000  ,1.413380  ,0.143324  ,4.831080  ,0.000000  ,0.000000  ,-0.007898 ,0.860000  ,-0.006837 ,0.168239  
0.640000  ,1.614214  ,0.140720  ,5.211480  ,0.000000  ,0.000000  ,0.021403  ,0.980000  ,-0.005541 ,0.209415  
0.680000  ,1.830271  ,0.138614  ,5.591880  ,0.000000  ,0.000000  ,0.002406  ,1.100000  ,-0.008762 ,0.238991  
0.720000  ,2.061544  ,0.136504  ,5.972280  ,0.000000  ,0.000000  ,0.006285  ,1.220000  ,-0.013724 ,0.121331  
0.760000  ,2.307778  ,0.133972  ,6.330167  ,0.000000  ,0.000000  ,0.027530  ,1.350000  ,-0.011883 ,-0.085514 
0.800000  ,2.567057  ,0.130703  ,6.625826  ,0.000000  ,0.000000  ,-0.009059 ,1.470000  ,-0.009567 ,-0.279805 
0.840000  ,2.837070  ,0.126426  ,6.869136  ,0.000000  ,0.000000  ,0.011625  ,1.590000  ,-0.002698 ,-0.431431 
0.880000  ,3.115908  ,0.120924  ,7.069365  ,0.000000  ,0.000000  ,-0.015124 ,1.840000  ,-0.003415 ,-0.550502 
0.920000  ,3.401995  ,0.114028  ,7.234142  ,0.000000  ,0.000000  ,0.075441  ,1.960000  ,-0.007946 ,-0.652878 
0.960000  ,3.694033  ,0.105592  ,7.369744  ,0.000000  ,0.000000  ,0.013074  ,2.080000  ,-0.007533 ,-0.749614 
1.000000  ,3.990950  ,0.095483  ,7.481337  ,0.000000  ,0.000000  ,0.056755  ,2.200000  ,0.003620  ,-0.845931 
1.040000  ,4.291860  ,0.083573  ,7.573171  ,0.000000  ,0.000000  ,-0.017510 ,2.450000  ,0.001072  ,-0.943080 
1.080000  ,4.596029  ,0.069735  ,7.648745  ,0.000000  ,0.000000  ,-0.000112 ,2.570000  ,-0.008741 ,-1.040283 
1.120000  ,4.902851  ,0.053872  ,7.710938  ,0.000000  ,0.000000  ,-0.019817 ,2.690000  ,-0.005975 ,-1.123121 
1.160000  ,5.211869  ,0.036754  ,7.762119  ,0.000000  ,0.000000  ,0.024324  ,2.820000  ,0.016590  ,-0.867365 
1.200000  ,5.522716  ,0.019006  ,7.804238  ,0.000000  ,0.000000  ,0.026561  ,2.940000  ,-0.005497 ,-0.349479 
1.240000  ,5.835047  ,0.000431  ,7.838899  ,0.000000  ,0.000000  ,0.031282  ,3.180000  ,-0.017523 ,-0.131813 
1.280000  ,6.148592  ,-0.018963 ,7.867423  ,0.000000  ,0.000000  ,0.019011  ,3.300000  ,-0.022145 ,-0.264520 
1.320000  ,6.463168  ,-0.038477 ,7.890897  ,0.000000  ,0.000000  ,0.009020  ,3.550000  ,-0.036777 ,-0.220022 
1.360000  ,6.778558  ,-0.058637 ,7.910215  ,0.000000  ,0.000000  ,-0.022700 ,3.670000  ,-0.038448 ,-0.262340 
1.400000  ,7.094587  ,-0.079792 ,7.926112  ,0.000000  ,0.000000  ,0.039310  ,3.790000  ,-0.027820 ,-0.506159 
1.440000  ,7.411105  ,-0.102252 ,7.939195  ,0.000000  ,0.000000  ,0.038352  ,4.040000  ,-0.018625 ,-0.829018 
1.480000  ,7.727923  ,-0.127063 ,7.949961  ,0.000000  ,0.000000  ,-0.008138 ,4.280000  ,-0.041302 ,-1.407247 
1.520000  ,8.044825  ,-0.155546 ,7.958821  ,0.000000  ,0.000000  ,0.018382  ,4.410000  ,-0.036129 ,-2.284398 
1.560000  ,8.361649  ,-0.188179 ,7.966112  ,0.000000  ,0.000000  ,-0.012076 ,4.650000  ,-0.035514 ,-2.943432 
1.600000  ,8.678257  ,-0.225208 ,7.972112  ,0.000000  ,0.000000  ,-0.024291 ,4.770000  ,-0.034786 ,-3.130240 
1.640000  ,8.994424  ,-0.267489 ,7.977050  ,0.000000  ,0.000000  ,-0.061654 ,4.900000  ,-0.038441 ,-3.300928 
1.680000  ,9.309905  ,-0.315808 ,7.981113  ,0.000000  ,0.000000  ,-0.000822 ,5.140000  ,-0.035452 ,-3.721174 
1.720000  ,9.624462  ,-0.370681 ,7.984457  ,0.000000  ,0.000000  ,0.000542  ,5.260000  ,-0.029861 ,-4.247476 
1.760000  ,9.937802  ,-0.432744 ,7.987209  ,0.000000  ,0.000000  ,-0.054318 ,5.510000  ,-0.026869 ,-4.742166 
1.800000  ,10.249603 ,-0.502581 ,7.989474  ,0.000000  ,0.000000  ,-0.067887 ,5.630000  ,-0.036448 ,-5.150006 
1.840000  ,10.559529 ,-0.580651 ,7.991338  ,0.000000  ,0.000000  ,0.006219  ,5.750000  ,-0.015501 ,-5.460061 
1.880000  ,10.867419 ,-0.666660 ,7.992872  ,0.000000  ,0.000000  ,-0.015580 ,6.000000  ,0.002931  ,-5.407392 
1.920000  ,11.173250 ,-0.759917 ,7.994134  ,0.000000  ,0.000000  ,-0.015944 ,6.240000  ,-0.021948 ,-4.925190 
1.960000  ,11.476834 ,-0.860391 ,7.995172  ,0.000000  ,0.000000  ,-0.058728 ,6.360000  ,0.028867  ,-4.546364 
2.000000  ,11.778187 ,-0.967494 ,7.996027  ,0.000000  ,0.000000  ,-0.003220 ,6.610000  ,0.030554  ,-4.263411 
2.040000  ,12.077807 ,-1.079449 ,7.996731  ,0.000000  ,0.000000  ,-0.039305 ,6.730000  ,0.021207  ,-3.492952 
2.080000  ,12.375755 ,-1.195851 ,7.997309  ,0.000000  ,0.000000  ,0.027908  ,6.980000  ,-0.009904 ,-2.713984 
2.120000  ,12.672568 ,-1.315179 ,7.997786  ,0.000000  ,0.000000  ,-0.043162 ,7.100000  ,-0.018070 ,-1.859713 
2.160000  ,12.968742 ,-1.436131 ,7.998178  ,0.000000  ,0.000000  ,0.021291  ,7.340000  ,-0.028486 ,-0.927434 
