# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.186748  ,0.177792  ,0.000000  ,0.000000  ,0.000000  ,-0.032763 ,0.120000  ,0.002314  ,-42.072341
0.040000  ,0.193685  ,0.177521  ,0.361380  ,0.000000  ,0.000000  ,-0.045944 ,0.120000  ,0.001825  ,0.008609  
0.080000  ,0.215735  ,0.176757  ,0.741780  ,0.000000  ,0.000000  ,0.010878  ,0.120000  ,0.001719  ,-0.196471 
0.120000  ,0.252997  ,0.175624  ,1.122180  ,0.000000  ,0.000000  ,-0.003044 ,0.120000  ,0.000937  ,-0.349266 
0.160000  ,0.305470  ,0.174113  ,1.502580  ,0.000000  ,0.000000  ,-0.009142 ,0.240000  ,-0.000441 ,-0.319782 
0.200000  ,0.373154  ,0.172189  ,1.882980  ,0.000000  ,0.000000  ,-0.021256 ,0.240000  ,-0.000455 ,-0.239765 
0.240000  ,0.456033  ,0.169370  ,2.263380  ,0.000000  ,0.000000  ,-0.001364 ,0.370000  ,0.010211  ,0.000735  
0.280000  ,0.554109  ,0.165735  ,2.643780  ,0.000000  ,0.000000  ,0.033941  ,0.370000  ,0.010604  ,0.075586  
0.320000  ,0.667402  ,0.161869  ,3.024180  ,0.000000  ,0.000000  ,0.031173  ,0.370000  ,0.012152  ,0.004710  
0.360000  ,0.795916  ,0.157905  ,3.404580  ,0.000000  ,0.000000  ,0.016393  ,0.490000  ,0.006191  ,-0.000745 
0.400000  ,0.939652  ,0.153922  ,3.784980  ,0.000000  ,0.000000  ,0.017440  ,0.610000  ,0.001076  ,0.036608  
0.440000  ,1.098611  ,0.150019  ,4.165380  ,0.000000  ,0.000000  ,0.026930  ,0.610000  ,0.009832  ,0.085757  
0.480000  ,1.272795  ,0.146303  ,4.545780  ,0.000000  ,0.000000  ,-0.002461 ,0.730000  ,-0.006474 ,0.135184  
0.520000  ,1.462201  ,0.142788  ,4.926180  ,0.000000  ,0.000000  ,0.048509  ,0.860000  ,-0.005223 ,0.149406  
0.560000  ,1.666820  ,0.138907  ,5.306580  ,0.000000  ,0.000000  ,0.013578  ,0.980000  ,-0.003071 ,0.047382  
0.600000  ,1.886644  ,0.134358  ,5.686980  ,0.000000  ,0.000000  ,0.004931  ,1.100000  ,0.008063  ,-0.110452 
0.640000  ,2.121670  ,0.128988  ,6.067380  ,0.000000  ,0.000000  ,0.063979  ,1.220000  ,-0.003792 ,-0.200151 
0.680000  ,2.371350  ,0.123199  ,6.409568  ,0.000000  ,0.000000  ,-0.013047 ,1.350000  ,-0.009562 ,-0.123553 
0.720000  ,2.633454  ,0.116639  ,6.691168  ,0.000000  ,0.000000  ,-0.021930 ,1.590000  ,-0.004087 ,-0.141065 
0.760000  ,2.905773  ,0.109155  ,6.922908  ,0.000000  ,0.000000  ,0.009625  ,1.710000  ,-0.001413 ,-0.278114 
0.800000  ,3.186488  ,0.100554  ,7.113617  ,0.000000  ,0.000000  ,0.010938  ,1.840000  ,0.005014  ,-0.449797 
0.840000  ,3.474100  ,0.090750  ,7.270559  ,0.000000  ,0.000000  ,-0.044097 ,1.960000  ,-0.002939 ,-0.548242 
0.880000  ,3.767398  ,0.080318  ,7.399713  ,0.000000  ,0.000000  ,-0.025658 ,2.080000  ,-0.003718 ,-0.387528 
0.920000  ,4.065355  ,0.068803  ,7.505999  ,0.000000  ,0.000000  ,-0.046470 ,2.330000  ,0.002198  ,-0.360541 
0.960000  ,4.367137  ,0.056255  ,7.593466  ,0.000000  ,0.000000  ,-0.011712 ,2.450000  ,-0.000106 ,-0.445645 
1.000000  ,4.672083  ,0.043298  ,7.665447  ,0.000000  ,0.000000  ,0.010767  ,2.570000  ,-0.010986 ,-0.322654 
