# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.810589 
2.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.730639 
3.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.714127 
4.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.690716 
5.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.746385 
6.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.653314 
7.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.691823 
8.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.664194 
9.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.704594 
10.000000 ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.738509 
11.000000 ,1.000000  ,34.160000 ,100.000000,0.020000  ,-0.000000 ,0.000000  ,21.838552 
12.000000 ,1.000000  ,34.040000 ,100.000000,0.020000  ,0.010308  ,0.000000  ,22.170034 
13.000000 ,1.000000  ,33.960000 ,99.810000 ,0.020000  ,0.009981  ,0.000000  ,21.342244 
14.000000 ,0.000000  ,14.080000 ,37.570000 ,0.020000  ,0.009828  ,0.000000  ,9.901516  
15.000000 ,0.000000  ,14.520000 ,36.410000 ,0.020000  ,0.009780  ,0.000000  ,10.787772 
16.000000 ,1.000000  ,33.920000 ,100.000000,0.020000  ,0.011678  ,0.000000  ,21.930931 
17.000000 ,1.000000  ,33.880000 ,99.810000 ,0.020000  ,0.013648  ,0.000000  ,21.701002 
18.000000 ,1.000000  ,36.800000 ,99.810000 ,0.020000  ,0.011985  ,0.000000  ,24.653762 
19.000000 ,0.000000  ,14.120000 ,37.570000 ,0.020000  ,0.013739  ,0.000000  ,9.701985  
20.000000 ,0.000000  ,13.880000 ,37.670000 ,0.020000  ,0.009985  ,0.000000  ,9.887719  
21.000000 ,0.000000  ,14.840000 ,36.990000 ,0.040000  ,0.012952  ,0.000000  ,11.454142 
22.000000 ,1.000000  ,36.680000 ,99.810000 ,0.040000  ,0.026644  ,0.000000  ,24.796852 
23.000000 ,1.000000  ,34.280000 ,100.000000,0.040000  ,0.024739  ,0.000000  ,21.687059 
24.000000 ,1.000000  ,33.880000 ,100.000000,0.040000  ,0.025058  ,0.000000  ,21.282705 
25.000000 ,1.000000  ,34.160000 ,100.000000,0.040000  ,0.019514  ,0.000000  ,21.054226 
26.000000 ,1.000000  ,33.800000 ,99.810000 ,0.040000  ,0.024049  ,0.000000  ,20.924132 
27.000000 ,1.000000  ,33.920000 ,100.000000,0.040000  ,0.023152  ,0.000000  ,22.867845 
28.000000 ,0.000000  ,14.040000 ,37.570000 ,0.040000  ,0.021551  ,0.000000  ,9.617717  
29.000000 ,0.000000  ,14.240000 ,37.570000 ,0.040000  ,0.026686  ,0.000000  ,10.418883 
30.000000 ,0.000000  ,13.160000 ,37.860000 ,0.040000  ,0.020141  ,0.000000  ,9.170250  
31.000000 ,1.000000  ,33.760000 ,99.810000 ,0.060000  ,0.028479  ,0.000000  ,21.606968 
32.000000 ,1.000000  ,34.040000 ,100.000000,0.060000  ,0.034529  ,0.000000  ,20.981955 
33.000000 ,1.000000  ,34.000000 ,100.000000,0.060000  ,0.036941  ,0.000000  ,21.955827 
34.000000 ,0.000000  ,14.040000 ,37.570000 ,0.060000  ,0.040582  ,0.000000  ,10.789790 
35.000000 ,1.000000  ,34.240000 ,100.000000,0.060000  ,0.037114  ,0.000000  ,22.125370 
36.000000 ,0.000000  ,13.120000 ,37.770000 ,0.060000  ,0.036552  ,0.000000  ,8.883563  
37.000000 ,1.000000  ,33.840000 ,99.810000 ,0.060000  ,0.035367  ,0.000000  ,22.336115 
38.000000 ,0.000000  ,13.120000 ,37.770000 ,0.060000  ,0.032967  ,0.000000  ,8.832041  
39.000000 ,1.000000  ,34.240000 ,100.000000,0.060000  ,0.037078  ,0.000000  ,22.315537 
40.000000 ,1.000000  ,37.200000 ,99.810000 ,0.060000  ,0.033418  ,0.000000  ,25.546212 
41.000000 ,0.000000  ,13.360000 ,37.770000 ,0.080000  ,0.030424  ,0.000000  ,9.719474  
42.000000 ,1.000000  ,33.920000 ,99.810000 ,0.080000  ,0.076743  ,0.000000  ,20.902006 
43.000000 ,1.000000  ,36.840000 ,99.810000 ,0.080000  ,0.053686  ,0.000000  ,25.977810 
44.000000 ,1.000000  ,33.720000 ,100.000000,0.080000  ,0.047311  ,0.000000  ,22.975732 
45.000000 ,1.000000  ,34.720000 ,99.810000 ,0.080000  ,0.051943  ,0.000000  ,22.349669 
46.000000 ,1.000000  ,33.960000 ,100.000000,0.080000  ,0.056046  ,0.000000  ,22.056688 
47.000000 ,1.000000  ,34.240000 ,100.000000,0.080000  ,0.049049  ,0.000000  ,21.813967 
48.000000 ,1.000000  ,34.160000 ,100.000000,0.080000  ,0.057218  ,0.000000  ,22.543495 
49.000000 ,1.000000  ,33.920000 ,100.000000,0.080000  ,0.051373  ,0.000000  ,21.942989 
50.000000 ,0.000000  ,13.840000 ,37.570000 ,0.080000  ,0.043341  ,0.000000  ,9.506511  
51.000000 ,1.000000  ,34.080000 ,99.810000 ,0.100000  ,0.050003  ,0.000000  ,22.073531 
52.000000 ,1.000000  ,34.080000 ,99.810000 ,0.100000  ,0.073444  ,0.000000  ,22.397197 
53.000000 ,1.000000  ,35.640000 ,100.000000,0.100000  ,0.061102  ,0.000000  ,22.841658 
54.000000 ,0.000000  ,13.200000 ,37.770000 ,0.100000  ,0.065493  ,0.000000  ,8.733085  
55.000000 ,1.000000  ,34.200000 ,100.000000,0.100000  ,0.078809  ,0.000000  ,22.447901 
56.000000 ,0.000000  ,13.160000 ,37.670000 ,0.100000  ,0.054405  ,0.000000  ,8.368417  
57.000000 ,1.000000  ,33.960000 ,99.810000 ,0.100000  ,0.070905  ,0.000000  ,21.968063 
58.000000 ,0.000000  ,14.440000 ,37.570000 ,0.100000  ,0.066043  ,0.000000  ,10.105846 
59.000000 ,0.000000  ,13.040000 ,37.860000 ,0.100000  ,0.062714  ,0.000000  ,8.413864  
60.000000 ,0.000000  ,13.120000 ,37.670000 ,0.100000  ,0.056120  ,0.000000  ,8.834649  
61.000000 ,1.000000  ,34.480000 ,99.810000 ,0.120000  ,0.057235  ,0.000000  ,22.225009 
62.000000 ,1.000000  ,33.840000 ,99.810000 ,0.120000  ,0.088562  ,0.000000  ,22.212513 
63.000000 ,1.000000  ,36.800000 ,100.000000,0.120000  ,0.072772  ,0.000000  ,26.020305 
64.000000 ,1.000000  ,33.920000 ,100.000000,0.120000  ,0.078573  ,0.000000  ,22.030233 
65.000000 ,0.000000  ,15.240000 ,36.890000 ,0.120000  ,0.075623  ,0.000000  ,12.292284 
66.000000 ,1.000000  ,35.240000 ,100.000000,0.120000  ,0.081131  ,0.000000  ,23.097346 
67.000000 ,1.000000  ,34.080000 ,99.810000 ,0.120000  ,0.082319  ,0.000000  ,21.757120 
68.000000 ,1.000000  ,34.440000 ,99.810000 ,0.120000  ,0.075110  ,0.000000  ,22.915896 
69.000000 ,1.000000  ,34.160000 ,100.000000,0.120000  ,0.083795  ,0.000000  ,21.462576 
70.000000 ,1.000000  ,34.280000 ,99.810000 ,0.120000  ,0.078065  ,0.000000  ,21.803861 
71.000000 ,1.000000  ,34.040000 ,100.000000,0.140000  ,0.078318  ,0.000000  ,21.866479 
72.000000 ,0.000000  ,13.120000 ,37.770000 ,0.140000  ,0.073042  ,0.000000  ,9.684195  
73.000000 ,1.000000  ,33.880000 ,100.000000,0.140000  ,0.100637  ,0.000000  ,21.250716 
74.000000 ,0.000000  ,15.000000 ,36.890000 ,0.140000  ,0.073049  ,0.000000  ,11.141222 
75.000000 ,1.000000  ,33.840000 ,99.810000 ,0.140000  ,0.082857  ,0.000000  ,21.071592 
76.000000 ,1.000000  ,33.720000 ,99.810000 ,0.140000  ,0.103183  ,0.000000  ,20.782260 
