# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.947795 
2.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.853450 
3.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.845858 
4.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.804722 
5.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.733051 
6.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,-0.000000 ,0.000000  ,23.703995 
7.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.696446 
8.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,-0.000000 ,0.000000  ,23.732821 
9.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,23.697865 
10.000000 ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,-0.000000 ,0.000000  ,23.761684 
11.000000 ,1.000000  ,34.240000 ,99.810000 ,0.020000  ,-0.000000 ,0.000000  ,23.869958 
12.000000 ,0.000000  ,13.080000 ,37.770000 ,0.020000  ,0.013842  ,0.000000  ,9.402100  
13.000000 ,1.000000  ,34.160000 ,100.000000,0.020000  ,0.014065  ,0.000000  ,21.764190 
14.000000 ,1.000000  ,34.920000 ,100.000000,0.020000  ,0.014783  ,0.000000  ,22.793545 
15.000000 ,1.000000  ,33.920000 ,99.810000 ,0.020000  ,0.010351  ,0.000000  ,22.072316 
16.000000 ,1.000000  ,36.840000 ,100.000000,0.020000  ,0.011760  ,0.000000  ,26.367973 
17.000000 ,1.000000  ,36.840000 ,99.810000 ,0.020000  ,0.012648  ,0.000000  ,25.130021 
18.000000 ,1.000000  ,33.880000 ,100.000000,0.020000  ,0.012239  ,0.000000  ,21.856589 
19.000000 ,1.000000  ,33.840000 ,99.810000 ,0.020000  ,0.012250  ,0.000000  ,21.733205 
20.000000 ,1.000000  ,33.680000 ,100.000000,0.020000  ,0.014540  ,0.000000  ,21.430459 
21.000000 ,1.000000  ,33.880000 ,100.000000,0.040000  ,0.011369  ,0.000000  ,21.389490 
22.000000 ,1.000000  ,33.760000 ,100.000000,0.040000  ,0.026320  ,0.000000  ,21.384824 
23.000000 ,1.000000  ,34.000000 ,100.000000,0.040000  ,0.023305  ,0.000000  ,23.240822 
24.000000 ,1.000000  ,33.760000 ,99.810000 ,0.040000  ,0.022317  ,0.000000  ,21.902626 
25.000000 ,1.000000  ,33.880000 ,99.810000 ,0.040000  ,0.023107  ,0.000000  ,21.117117 
26.000000 ,1.000000  ,34.320000 ,100.000000,0.040000  ,0.026089  ,0.000000  ,22.318310 
27.000000 ,1.000000  ,33.720000 ,100.000000,0.040000  ,0.020599  ,0.000000  ,21.284823 
28.000000 ,1.000000  ,34.320000 ,100.000000,0.040000  ,0.029965  ,0.000000  ,22.577464 
29.000000 ,0.000000  ,5.960000  ,16.600000 ,0.040000  ,0.019149  ,0.000000  ,3.694865  
30.000000 ,1.000000  ,34.000000 ,100.000000,0.040000  ,0.023794  ,0.000000  ,22.611434 
31.000000 ,0.000000  ,14.320000 ,37.480000 ,0.060000  ,0.028526  ,0.000000  ,10.226679 
32.000000 ,0.000000  ,5.880000  ,16.600000 ,0.060000  ,0.028075  ,0.000000  ,3.501951  
33.000000 ,1.000000  ,34.000000 ,100.000000,0.060000  ,0.037254  ,0.000000  ,22.040285 
34.000000 ,1.000000  ,33.720000 ,100.000000,0.060000  ,0.035084  ,0.000000  ,21.723264 
35.000000 ,1.000000  ,33.960000 ,100.000000,0.060000  ,0.040353  ,0.000000  ,21.585677 
36.000000 ,1.000000  ,33.960000 ,100.000000,0.060000  ,0.034829  ,0.000000  ,22.425891 
37.000000 ,1.000000  ,34.560000 ,99.810000 ,0.060000  ,0.039699  ,0.000000  ,22.393180 
38.000000 ,1.000000  ,34.280000 ,99.810000 ,0.060000  ,0.035796  ,0.000000  ,21.654901 
39.000000 ,1.000000  ,34.120000 ,99.810000 ,0.060000  ,0.032811  ,0.000000  ,21.881440 
40.000000 ,1.000000  ,33.800000 ,100.000000,0.060000  ,0.038195  ,0.000000  ,21.993053 
41.000000 ,1.000000  ,34.000000 ,100.000000,0.080000  ,0.036543  ,0.000000  ,21.408081 
42.000000 ,1.000000  ,33.680000 ,100.000000,0.080000  ,0.050574  ,0.000000  ,21.248547 
43.000000 ,1.000000  ,33.960000 ,99.810000 ,0.080000  ,0.046304  ,0.000000  ,21.356179 
44.000000 ,0.000000  ,14.920000 ,36.890000 ,0.080000  ,0.040468  ,0.000000  ,11.136039 
45.000000 ,0.000000  ,13.360000 ,38.160000 ,0.080000  ,0.048287  ,0.000000  ,9.141117  
46.000000 ,1.000000  ,33.840000 ,99.810000 ,0.080000  ,0.065618  ,0.000000  ,22.060677 
47.000000 ,1.000000  ,33.840000 ,99.810000 ,0.080000  ,0.044226  ,0.000000  ,21.136163 
48.000000 ,1.000000  ,34.160000 ,100.000000,0.080000  ,0.048194  ,0.000000  ,22.439981 
49.000000 ,1.000000  ,34.360000 ,100.000000,0.080000  ,0.046960  ,0.000000  ,22.697030 
50.000000 ,1.000000  ,33.960000 ,99.810000 ,0.080000  ,0.049409  ,0.000000  ,22.587570 
