# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.961286 
2.000000  ,1.000000  ,34.120000 ,100.000000,10.000000 ,0.000000  ,0.000000  ,22.540425 
3.000000  ,1.000000  ,34.040000 ,100.000000,20.000000 ,0.000000  ,0.000000  ,21.230581 
4.000000  ,0.000000  ,11.160000 ,30.190000 ,30.000000 ,0.000000  ,0.000000  ,7.862934  
5.000000  ,1.000000  ,37.480000 ,99.810000 ,40.000000 ,0.000000  ,0.000000  ,25.735318 
6.000000  ,1.000000  ,34.800000 ,100.000000,50.000000 ,0.000000  ,0.000000  ,23.359025 
7.000000  ,0.000000  ,13.440000 ,37.860000 ,60.000000 ,0.000000  ,0.000000  ,9.505335  
8.000000  ,1.000000  ,34.840000 ,99.810000 ,70.000000 ,0.000000  ,0.000000  ,22.834893 
9.000000  ,1.000000  ,35.960000 ,100.000000,80.000000 ,0.000000  ,0.000000  ,23.059600 
10.000000 ,0.000000  ,10.280000 ,29.220000 ,90.000000 ,0.000000  ,0.000000  ,6.910275  
