# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.744972 
2.000000  ,1.000000  ,34.480000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,22.516623 
3.000000  ,0.000000  ,15.960000 ,36.890000 ,20.000000 ,0.000000  ,0.000000  ,12.070736 
4.000000  ,0.000000  ,13.520000 ,38.540000 ,30.000000 ,0.000000  ,0.000000  ,9.258167  
5.000000  ,0.000000  ,19.280000 ,47.770000 ,40.000000 ,0.000000  ,0.000000  ,14.728035 
6.000000  ,0.000000  ,13.840000 ,38.060000 ,50.000000 ,0.000000  ,0.000000  ,9.882822  
7.000000  ,0.000000  ,10.120000 ,29.030000 ,60.000000 ,0.000000  ,0.000000  ,7.596267  
8.000000  ,0.000000  ,10.200000 ,29.420000 ,70.000000 ,0.000000  ,0.000000  ,6.912944  
9.000000  ,0.000000  ,11.360000 ,29.710000 ,80.000000 ,0.000000  ,0.000000  ,8.783931  
10.000000 ,0.000000  ,15.320000 ,37.570000 ,90.000000 ,0.000000  ,0.000000  ,12.068022 
