# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.894645 
2.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.911494 
3.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.859330 
4.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.874420 
5.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.904312 
6.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.870775 
7.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,21.839189 
8.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.892418 
9.000000  ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.878172 
10.000000 ,1.000000  ,34.160000 ,100.000000,0.000000  ,-0.000000 ,0.000000  ,21.850940 
11.000000 ,1.000000  ,34.160000 ,100.000000,0.020000  ,-0.000000 ,0.000000  ,21.871499 
12.000000 ,1.000000  ,33.880000 ,100.000000,0.020000  ,0.013963  ,0.000000  ,22.241496 
13.000000 ,1.000000  ,34.000000 ,100.000000,0.020000  ,0.012097  ,0.000000  ,21.604225 
14.000000 ,1.000000  ,36.880000 ,99.810000 ,0.020000  ,0.011541  ,0.000000  ,25.448541 
15.000000 ,1.000000  ,33.840000 ,99.810000 ,0.020000  ,0.011721  ,0.000000  ,22.446857 
16.000000 ,1.000000  ,33.880000 ,100.000000,0.020000  ,0.014487  ,0.000000  ,22.086417 
17.000000 ,1.000000  ,33.960000 ,100.000000,0.020000  ,0.010528  ,0.000000  ,21.781182 
18.000000 ,0.000000  ,13.160000 ,37.860000 ,0.020000  ,0.012645  ,0.000000  ,8.717831  
19.000000 ,1.000000  ,34.040000 ,99.810000 ,0.020000  ,0.012743  ,0.000000  ,21.638161 
20.000000 ,1.000000  ,36.720000 ,100.000000,0.020000  ,0.016522  ,0.000000  ,25.125383 
21.000000 ,1.000000  ,33.840000 ,100.000000,0.040000  ,0.011642  ,0.000000  ,21.223343 
22.000000 ,1.000000  ,33.760000 ,100.000000,0.040000  ,0.020978  ,0.000000  ,21.262383 
23.000000 ,0.000000  ,13.920000 ,37.570000 ,0.040000  ,0.019258  ,0.000000  ,9.633276  
24.000000 ,0.000000  ,10.440000 ,30.000000 ,0.040000  ,0.020813  ,0.000000  ,6.480472  
25.000000 ,0.000000  ,14.160000 ,37.570000 ,0.040000  ,0.026695  ,0.000000  ,10.270171 
26.000000 ,1.000000  ,37.000000 ,99.810000 ,0.040000  ,0.021386  ,0.000000  ,25.546257 
27.000000 ,1.000000  ,34.440000 ,100.000000,0.040000  ,0.027394  ,0.000000  ,22.986609 
28.000000 ,0.000000  ,14.560000 ,36.410000 ,0.040000  ,0.022698  ,0.000000  ,11.163502 
29.000000 ,0.000000  ,14.080000 ,37.570000 ,0.040000  ,0.022220  ,0.000000  ,10.355203 
30.000000 ,1.000000  ,33.920000 ,100.000000,0.040000  ,0.026323  ,0.000000  ,22.255205 
31.000000 ,0.000000  ,13.160000 ,37.770000 ,0.060000  ,0.018717  ,0.000000  ,9.187559  
