# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.895565  
2.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.894866  
3.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.886351  
4.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.898062  
5.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.889404  
6.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.887294  
7.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.880443  
8.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.877127  
9.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.883676  
10.000000 ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.884880  
11.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.000000  ,0.000000  ,0.890994  
12.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.010714  ,0.000000  ,0.959770  
13.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.007830  ,0.000000  ,0.867147  
14.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.006706  ,0.000000  ,0.918664  
15.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.007657  ,0.000000  ,0.971611  
16.000000 ,0.000000  ,1.960000  ,5.510000  ,0.020000  ,0.006548  ,0.000000  ,0.832647  
17.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.009939  ,0.000000  ,0.974548  
18.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.007669  ,0.000000  ,0.894979  
19.000000 ,0.000000  ,1.960000  ,5.510000  ,0.020000  ,0.010928  ,0.000000  ,0.820880  
20.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.010482  ,0.000000  ,0.942462  
21.000000 ,0.000000  ,1.960000  ,5.510000  ,0.040000  ,0.008400  ,0.000000  ,0.853548  
22.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.016219  ,0.000000  ,0.893251  
23.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.015155  ,0.000000  ,0.967247  
24.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.016724  ,0.000000  ,1.139369  
25.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.016240  ,0.000000  ,0.999201  
26.000000 ,0.000000  ,1.960000  ,5.510000  ,0.040000  ,0.013688  ,0.000000  ,0.889474  
27.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.016591  ,0.000000  ,1.015475  
28.000000 ,0.000000  ,1.960000  ,5.510000  ,0.040000  ,0.013609  ,0.000000  ,0.843862  
29.000000 ,0.000000  ,1.960000  ,5.510000  ,0.040000  ,0.020129  ,0.000000  ,0.928727  
30.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.012373  ,0.000000  ,0.967657  
31.000000 ,0.000000  ,1.960000  ,5.510000  ,0.060000  ,0.016265  ,0.000000  ,0.859611  
32.000000 ,0.000000  ,1.960000  ,5.510000  ,0.060000  ,0.022119  ,0.000000  ,0.805717  
33.000000 ,0.000000  ,2.080000  ,5.620000  ,0.060000  ,0.032518  ,0.000000  ,1.038695  
34.000000 ,0.000000  ,1.960000  ,5.510000  ,0.060000  ,0.023751  ,0.000000  ,0.884142  
35.000000 ,0.000000  ,1.960000  ,5.510000  ,0.060000  ,0.025118  ,0.000000  ,0.783243  
36.000000 ,0.000000  ,2.080000  ,5.620000  ,0.060000  ,0.024770  ,0.000000  ,0.908193  
37.000000 ,0.000000  ,1.960000  ,5.510000  ,0.060000  ,0.023122  ,0.000000  ,0.850516  
38.000000 ,0.000000  ,2.080000  ,5.620000  ,0.060000  ,0.024072  ,0.000000  ,0.953726  
39.000000 ,0.000000  ,2.000000  ,5.730000  ,0.060000  ,0.036379  ,0.000000  ,0.973428  
40.000000 ,0.000000  ,1.960000  ,5.510000  ,0.060000  ,0.021878  ,0.000000  ,0.988056  
41.000000 ,0.000000  ,1.960000  ,5.510000  ,0.080000  ,0.029617  ,0.000000  ,0.813290  
42.000000 ,0.000000  ,1.960000  ,5.510000  ,0.080000  ,0.032019  ,0.000000  ,0.947789  
43.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.035012  ,0.000000  ,0.972932  
44.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.041174  ,0.000000  ,0.979306  
45.000000 ,0.000000  ,1.960000  ,5.510000  ,0.080000  ,0.024175  ,0.000000  ,0.821392  
46.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.027045  ,0.000000  ,0.976266  
47.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.022739  ,0.000000  ,0.894103  
48.000000 ,0.000000  ,1.960000  ,5.510000  ,0.080000  ,0.043888  ,0.000000  ,0.946553  
49.000000 ,0.000000  ,1.960000  ,5.510000  ,0.080000  ,0.042407  ,0.000000  ,0.814544  
50.000000 ,0.000000  ,2.000000  ,5.730000  ,0.080000  ,0.044638  ,0.000000  ,0.831415  
51.000000 ,0.000000  ,1.960000  ,5.510000  ,0.100000  ,0.029645  ,0.000000  ,0.880482  
52.000000 ,0.000000  ,2.080000  ,5.620000  ,0.100000  ,0.042261  ,0.000000  ,0.838258  
53.000000 ,0.000000  ,2.000000  ,5.730000  ,0.100000  ,0.050530  ,0.000000  ,0.811018  
54.000000 ,0.000000  ,2.080000  ,5.620000  ,0.100000  ,0.032152  ,0.000000  ,0.966913  
55.000000 ,0.000000  ,1.960000  ,5.510000  ,0.100000  ,0.037743  ,0.000000  ,0.886953  
56.000000 ,0.000000  ,2.080000  ,5.620000  ,0.100000  ,0.063410  ,0.000000  ,0.921542  
57.000000 ,0.000000  ,1.960000  ,5.510000  ,0.100000  ,0.031074  ,0.000000  ,0.830663  
58.000000 ,0.000000  ,2.080000  ,5.620000  ,0.100000  ,0.039763  ,0.000000  ,0.994710  
59.000000 ,0.000000  ,2.080000  ,5.620000  ,0.100000  ,0.064222  ,0.000000  ,0.957160  
60.000000 ,0.000000  ,2.080000  ,5.620000  ,0.100000  ,0.051599  ,0.000000  ,0.960929  
61.000000 ,0.000000  ,2.000000  ,5.620000  ,0.120000  ,0.053263  ,0.000000  ,0.865804  
62.000000 ,0.000000  ,1.960000  ,5.510000  ,0.120000  ,0.047792  ,0.000000  ,0.746780  
63.000000 ,0.000000  ,2.120000  ,5.620000  ,0.120000  ,0.071750  ,0.000000  ,0.922977  
64.000000 ,0.000000  ,2.000000  ,5.620000  ,0.120000  ,0.048465  ,0.000000  ,0.926805  
65.000000 ,0.000000  ,2.080000  ,5.620000  ,0.120000  ,0.051770  ,0.000000  ,0.967973  
66.000000 ,0.000000  ,1.960000  ,5.510000  ,0.120000  ,0.076023  ,0.000000  ,0.865039  
67.000000 ,0.000000  ,2.080000  ,5.620000  ,0.120000  ,0.075204  ,0.000000  ,0.894434  
68.000000 ,0.000000  ,2.000000  ,5.620000  ,0.120000  ,0.053272  ,0.000000  ,1.094195  
69.000000 ,0.000000  ,2.080000  ,5.620000  ,0.120000  ,0.055570  ,0.000000  ,1.007035  
70.000000 ,0.000000  ,2.000000  ,5.620000  ,0.120000  ,0.033974  ,0.000000  ,1.056508  
71.000000 ,0.000000  ,2.000000  ,5.730000  ,0.140000  ,0.051325  ,0.000000  ,0.948562  
72.000000 ,0.000000  ,1.960000  ,5.510000  ,0.140000  ,0.069596  ,0.000000  ,0.800476  
73.000000 ,0.000000  ,2.000000  ,5.620000  ,0.140000  ,0.056354  ,0.000000  ,0.904939  
74.000000 ,0.000000  ,1.960000  ,5.510000  ,0.140000  ,0.065507  ,0.000000  ,0.777427  
75.000000 ,0.000000  ,2.080000  ,5.730000  ,0.140000  ,0.057341  ,0.000000  ,0.858813  
76.000000 ,0.000000  ,1.960000  ,5.510000  ,0.140000  ,0.065317  ,0.000000  ,0.860940  
77.000000 ,0.000000  ,2.080000  ,5.730000  ,0.140000  ,0.035627  ,0.000000  ,0.980265  
78.000000 ,0.000000  ,1.960000  ,5.510000  ,0.140000  ,0.058034  ,0.000000  ,0.819051  
79.000000 ,0.000000  ,2.080000  ,5.620000  ,0.140000  ,0.069125  ,0.000000  ,0.884348  
80.000000 ,0.000000  ,1.960000  ,5.510000  ,0.140000  ,0.049159  ,0.000000  ,1.015777  
81.000000 ,0.000000  ,2.120000  ,5.620000  ,0.160000  ,0.075922  ,0.000000  ,0.905084  
