# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,0.000000  ,0.000000  ,19.426488 
2.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,0.000000  ,0.000000  ,19.361889 
3.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,0.000000  ,0.000000  ,19.393277 
4.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,-0.000000 ,0.000000  ,19.376664 
5.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,0.000000  ,0.000000  ,19.392291 
6.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,-0.000000 ,0.000000  ,19.557246 
7.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,-0.000000 ,0.000000  ,19.414710 
8.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,-0.000000 ,0.000000  ,19.451195 
9.000000  ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,0.000000  ,0.000000  ,19.609362 
10.000000 ,1.000000  ,28.520000 ,99.780000 ,0.000000  ,-0.000000 ,0.000000  ,19.501605 
11.000000 ,1.000000  ,28.520000 ,99.780000 ,0.020000  ,-0.000000 ,0.000000  ,19.491941 
12.000000 ,1.000000  ,28.760000 ,99.780000 ,0.020000  ,0.012079  ,0.000000  ,20.478643 
13.000000 ,1.000000  ,28.960000 ,100.000000,0.020000  ,0.009990  ,0.000000  ,20.039357 
14.000000 ,1.000000  ,29.280000 ,100.000000,0.020000  ,0.011461  ,0.000000  ,20.153059 
15.000000 ,1.000000  ,29.120000 ,99.780000 ,0.020000  ,0.012882  ,0.000000  ,20.419460 
16.000000 ,1.000000  ,29.200000 ,100.000000,0.020000  ,0.013829  ,0.000000  ,20.246973 
17.000000 ,1.000000  ,28.640000 ,100.000000,0.020000  ,0.013966  ,0.000000  ,19.896872 
18.000000 ,1.000000  ,29.160000 ,100.000000,0.020000  ,0.013518  ,0.000000  ,19.441365 
19.000000 ,1.000000  ,28.800000 ,100.000000,0.020000  ,0.012437  ,0.000000  ,18.838359 
20.000000 ,0.000000  ,27.200000 ,92.500000 ,0.020000  ,0.012566  ,0.000000  ,19.558010 
21.000000 ,1.000000  ,28.840000 ,100.000000,0.040000  ,0.010345  ,0.000000  ,19.566107 
22.000000 ,1.000000  ,28.920000 ,99.780000 ,0.040000  ,0.024246  ,0.000000  ,19.406060 
23.000000 ,1.000000  ,28.800000 ,99.780000 ,0.040000  ,0.028786  ,0.000000  ,19.391481 
24.000000 ,1.000000  ,29.160000 ,100.000000,0.040000  ,0.027747  ,0.000000  ,19.697158 
25.000000 ,1.000000  ,28.960000 ,99.780000 ,0.040000  ,0.022496  ,0.000000  ,19.429563 
26.000000 ,1.000000  ,28.800000 ,100.000000,0.040000  ,0.026573  ,0.000000  ,19.760266 
27.000000 ,1.000000  ,29.360000 ,99.780000 ,0.040000  ,0.026411  ,0.000000  ,20.016560 
28.000000 ,0.000000  ,17.720000 ,57.110000 ,0.040000  ,0.026884  ,0.000000  ,14.363849 
29.000000 ,1.000000  ,28.520000 ,100.000000,0.040000  ,0.021892  ,0.000000  ,19.568387 
30.000000 ,0.000000  ,8.800000  ,25.470000 ,0.040000  ,0.020753  ,0.000000  ,6.975411  
31.000000 ,1.000000  ,29.040000 ,99.780000 ,0.060000  ,0.023572  ,0.000000  ,19.667574 
32.000000 ,0.000000  ,11.800000 ,39.470000 ,0.060000  ,0.034034  ,0.000000  ,8.536835  
33.000000 ,1.000000  ,29.120000 ,99.780000 ,0.060000  ,0.043633  ,0.000000  ,19.525009 
