# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,1.000000  ,29.080000 ,100.000000,0.000000  ,0.000000  ,0.000000  ,19.840051 
2.000000  ,1.000000  ,28.760000 ,100.000000,10.000000 ,0.000000  ,0.000000  ,19.384146 
3.000000  ,1.000000  ,30.280000 ,100.000000,20.000000 ,0.000000  ,0.000000  ,21.230066 
4.000000  ,1.000000  ,29.280000 ,100.000000,30.000000 ,0.000000  ,0.000000  ,18.807916 
5.000000  ,1.000000  ,30.200000 ,99.780000 ,40.000000 ,0.000000  ,0.000000  ,19.918947 
6.000000  ,0.000000  ,17.560000 ,60.420000 ,50.000000 ,0.000000  ,0.000000  ,11.440387 
7.000000  ,0.000000  ,12.920000 ,43.110000 ,60.000000 ,0.000000  ,0.000000  ,8.417477  
8.000000  ,0.000000  ,24.920000 ,81.150000 ,70.000000 ,0.000000  ,0.000000  ,17.210038 
9.000000  ,0.000000  ,3.080000  ,9.370000  ,80.000000 ,0.000000  ,0.000000  ,1.913340  
10.000000 ,0.000000  ,21.040000 ,62.840000 ,90.000000 ,0.000000  ,0.000000  ,15.087588 
