# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.903969  
2.000000  ,0.000000  ,2.280000  ,5.620000  ,10.000000 ,0.000000  ,0.000000  ,1.140651  
3.000000  ,0.000000  ,2.120000  ,5.620000  ,20.000000 ,0.000000  ,0.000000  ,1.037184  
4.000000  ,0.000000  ,2.120000  ,5.620000  ,30.000000 ,0.000000  ,0.000000  ,0.932492  
5.000000  ,0.000000  ,2.000000  ,5.510000  ,40.000000 ,0.000000  ,0.000000  ,0.870870  
6.000000  ,0.000000  ,2.080000  ,5.620000  ,50.000000 ,0.000000  ,0.000000  ,0.885174  
7.000000  ,0.000000  ,2.120000  ,5.730000  ,60.000000 ,0.000000  ,0.000000  ,0.939733  
8.000000  ,0.000000  ,2.000000  ,5.400000  ,70.000000 ,0.000000  ,0.000000  ,0.945175  
9.000000  ,0.000000  ,2.120000  ,5.620000  ,80.000000 ,0.000000  ,0.000000  ,0.974885  
10.000000 ,0.000000  ,2.000000  ,5.290000  ,90.000000 ,0.000000  ,0.000000  ,0.844091  
