# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.900583  
2.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,-0.000000 ,0.000000  ,0.886559  
3.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.878222  
4.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.903966  
5.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.884274  
6.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.889509  
7.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.879007  
8.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.879273  
9.000000  ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.877856  
10.000000 ,0.000000  ,2.080000  ,5.620000  ,0.000000  ,0.000000  ,0.000000  ,0.885225  
11.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,-0.000000 ,0.000000  ,0.881651  
12.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.010181  ,0.000000  ,0.931427  
13.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.011718  ,0.000000  ,0.826662  
14.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.007947  ,0.000000  ,0.975566  
15.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.010657  ,0.000000  ,0.957715  
16.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.010261  ,0.000000  ,0.861542  
17.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.008943  ,0.000000  ,1.003446  
18.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.007423  ,0.000000  ,0.931100  
19.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.008028  ,0.000000  ,0.958306  
20.000000 ,0.000000  ,2.080000  ,5.620000  ,0.020000  ,0.010485  ,0.000000  ,0.905165  
21.000000 ,0.000000  ,2.120000  ,5.730000  ,0.040000  ,0.008996  ,0.000000  ,1.011182  
22.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.015353  ,0.000000  ,0.848950  
23.000000 ,0.000000  ,2.000000  ,5.730000  ,0.040000  ,0.016847  ,0.000000  ,0.793322  
24.000000 ,0.000000  ,2.120000  ,5.730000  ,0.040000  ,0.016415  ,0.000000  ,0.862744  
25.000000 ,0.000000  ,2.120000  ,5.730000  ,0.040000  ,0.023718  ,0.000000  ,1.058365  
26.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.016648  ,0.000000  ,0.840540  
27.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.014177  ,0.000000  ,0.998463  
28.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.015234  ,0.000000  ,0.995272  
29.000000 ,0.000000  ,2.080000  ,5.620000  ,0.040000  ,0.012425  ,0.000000  ,1.006882  
30.000000 ,0.000000  ,2.000000  ,5.620000  ,0.040000  ,0.022549  ,0.000000  ,0.909093  
31.000000 ,0.000000  ,2.080000  ,5.620000  ,0.060000  ,0.025773  ,0.000000  ,1.169938  
32.000000 ,0.000000  ,2.080000  ,5.620000  ,0.060000  ,0.025446  ,0.000000  ,0.985370  
33.000000 ,0.000000  ,2.120000  ,5.730000  ,0.060000  ,0.026784  ,0.000000  ,0.990081  
34.000000 ,0.000000  ,2.120000  ,5.730000  ,0.060000  ,0.035794  ,0.000000  ,0.916617  
35.000000 ,0.000000  ,2.000000  ,5.620000  ,0.060000  ,0.028445  ,0.000000  ,1.016602  
36.000000 ,0.000000  ,2.120000  ,5.730000  ,0.060000  ,0.029217  ,0.000000  ,0.975665  
37.000000 ,0.000000  ,2.120000  ,5.730000  ,0.060000  ,0.033496  ,0.000000  ,0.940405  
38.000000 ,0.000000  ,2.120000  ,5.730000  ,0.060000  ,0.022432  ,0.000000  ,0.952073  
39.000000 ,0.000000  ,2.080000  ,5.620000  ,0.060000  ,0.024168  ,0.000000  ,0.980959  
40.000000 ,0.000000  ,2.280000  ,5.730000  ,0.060000  ,0.021519  ,0.000000  ,1.005819  
41.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.031669  ,0.000000  ,0.818475  
42.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.047529  ,0.000000  ,0.957224  
43.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.036047  ,0.000000  ,0.920420  
44.000000 ,0.000000  ,2.000000  ,5.620000  ,0.080000  ,0.052445  ,0.000000  ,0.931652  
45.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.037334  ,0.000000  ,1.004047  
46.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.031062  ,0.000000  ,0.870731  
47.000000 ,0.000000  ,2.120000  ,5.730000  ,0.080000  ,0.029554  ,0.000000  ,1.146527  
48.000000 ,0.000000  ,2.480000  ,5.730000  ,0.080000  ,0.028749  ,0.000000  ,1.278897  
49.000000 ,0.000000  ,2.080000  ,5.620000  ,0.080000  ,0.026957  ,0.000000  ,1.028305  
50.000000 ,0.000000  ,2.000000  ,5.730000  ,0.080000  ,0.030716  ,0.000000  ,0.836392  
51.000000 ,0.000000  ,2.120000  ,5.730000  ,0.100000  ,0.043521  ,0.000000  ,1.100208  
