# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.535450 
2.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.515759 
3.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.504138 
4.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.533695 
5.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.505684 
6.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.509555 
7.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.513068 
8.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.498594 
9.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.538516 
10.000000 ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.474337 
11.000000 ,1.000000  ,25.320000 ,99.760000 ,0.020000  ,0.000000  ,0.000000  ,16.498626 
12.000000 ,1.000000  ,25.560000 ,100.000000,0.020000  ,0.011844  ,0.000000  ,17.174587 
13.000000 ,1.000000  ,25.240000 ,99.760000 ,0.020000  ,0.012133  ,0.000000  ,16.239656 
14.000000 ,0.000000  ,17.800000 ,65.730000 ,0.020000  ,0.010206  ,0.000000  ,13.484684 
15.000000 ,1.000000  ,25.800000 ,100.000000,0.020000  ,0.012925  ,0.000000  ,17.390162 
16.000000 ,1.000000  ,26.200000 ,100.000000,0.020000  ,0.015154  ,0.000000  ,18.620244 
17.000000 ,1.000000  ,25.280000 ,99.760000 ,0.020000  ,0.010258  ,0.000000  ,18.122685 
18.000000 ,1.000000  ,25.360000 ,99.760000 ,0.020000  ,0.010163  ,0.000000  ,17.295761 
19.000000 ,1.000000  ,25.600000 ,99.760000 ,0.020000  ,0.012060  ,0.000000  ,17.597863 
20.000000 ,1.000000  ,25.640000 ,100.000000,0.020000  ,0.010392  ,0.000000  ,17.352048 
21.000000 ,1.000000  ,25.480000 ,99.760000 ,0.040000  ,0.012766  ,0.000000  ,16.825239 
22.000000 ,1.000000  ,25.280000 ,99.760000 ,0.040000  ,0.028301  ,0.000000  ,16.502611 
23.000000 ,1.000000  ,25.680000 ,100.000000,0.040000  ,0.025606  ,0.000000  ,16.985418 
24.000000 ,1.000000  ,25.760000 ,100.000000,0.040000  ,0.021752  ,0.000000  ,17.553263 
25.000000 ,1.000000  ,25.200000 ,100.000000,0.040000  ,0.023790  ,0.000000  ,16.647017 
26.000000 ,1.000000  ,25.320000 ,100.000000,0.040000  ,0.029082  ,0.000000  ,17.037392 
27.000000 ,1.000000  ,26.760000 ,99.760000 ,0.040000  ,0.025308  ,0.000000  ,19.891128 
28.000000 ,1.000000  ,25.200000 ,100.000000,0.040000  ,0.025907  ,0.000000  ,16.751700 
29.000000 ,1.000000  ,25.360000 ,100.000000,0.040000  ,0.022465  ,0.000000  ,16.736356 
30.000000 ,1.000000  ,25.440000 ,100.000000,0.040000  ,0.026735  ,0.000000  ,17.028729 
31.000000 ,0.000000  ,13.080000 ,45.290000 ,0.060000  ,0.019454  ,0.000000  ,10.692069 
32.000000 ,0.000000  ,18.960000 ,75.030000 ,0.060000  ,0.033590  ,0.000000  ,12.544723 
33.000000 ,1.000000  ,25.720000 ,100.000000,0.060000  ,0.039396  ,0.000000  ,17.545426 
34.000000 ,1.000000  ,25.640000 ,99.760000 ,0.060000  ,0.035619  ,0.000000  ,17.051555 
35.000000 ,1.000000  ,25.640000 ,100.000000,0.060000  ,0.031182  ,0.000000  ,17.962886 
36.000000 ,0.000000  ,19.280000 ,75.280000 ,0.060000  ,0.040379  ,0.000000  ,12.823641 
37.000000 ,0.000000  ,16.880000 ,65.970000 ,0.060000  ,0.028377  ,0.000000  ,11.919566 
38.000000 ,1.000000  ,25.080000 ,99.760000 ,0.060000  ,0.037445  ,0.000000  ,16.768711 
39.000000 ,1.000000  ,25.600000 ,99.760000 ,0.060000  ,0.033686  ,0.000000  ,17.365599 
40.000000 ,1.000000  ,26.080000 ,100.000000,0.060000  ,0.036294  ,0.000000  ,17.499691 
41.000000 ,1.000000  ,25.560000 ,100.000000,0.080000  ,0.029982  ,0.000000  ,17.621962 
42.000000 ,1.000000  ,25.360000 ,99.760000 ,0.080000  ,0.055001  ,0.000000  ,17.504552 
43.000000 ,1.000000  ,25.240000 ,100.000000,0.080000  ,0.042452  ,0.000000  ,16.826858 
44.000000 ,1.000000  ,25.640000 ,100.000000,0.080000  ,0.051294  ,0.000000  ,17.312476 
45.000000 ,1.000000  ,25.520000 ,99.760000 ,0.080000  ,0.051591  ,0.000000  ,18.738698 
46.000000 ,1.000000  ,25.360000 ,99.760000 ,0.080000  ,0.055097  ,0.000000  ,17.711864 
47.000000 ,1.000000  ,25.520000 ,100.000000,0.080000  ,0.043822  ,0.000000  ,17.367326 
48.000000 ,0.000000  ,16.880000 ,65.970000 ,0.080000  ,0.044507  ,0.000000  ,11.420977 
49.000000 ,1.000000  ,25.280000 ,100.000000,0.080000  ,0.047104  ,0.000000  ,16.284463 
50.000000 ,1.000000  ,25.840000 ,100.000000,0.080000  ,0.039697  ,0.000000  ,18.311739 
51.000000 ,1.000000  ,25.600000 ,100.000000,0.100000  ,0.047123  ,0.000000  ,16.662117 
52.000000 ,1.000000  ,25.560000 ,100.000000,0.100000  ,0.067133  ,0.000000  ,17.782069 
53.000000 ,1.000000  ,25.440000 ,100.000000,0.100000  ,0.079360  ,0.000000  ,16.609804 
54.000000 ,1.000000  ,25.600000 ,100.000000,0.100000  ,0.056218  ,0.000000  ,17.833380 
55.000000 ,1.000000  ,25.560000 ,100.000000,0.100000  ,0.052219  ,0.000000  ,17.918488 
56.000000 ,1.000000  ,28.240000 ,100.000000,0.100000  ,0.066775  ,0.000000  ,20.652069 
57.000000 ,1.000000  ,25.840000 ,99.760000 ,0.100000  ,0.063614  ,0.000000  ,17.260695 
58.000000 ,1.000000  ,25.360000 ,100.000000,0.100000  ,0.063538  ,0.000000  ,17.272203 
59.000000 ,1.000000  ,25.480000 ,99.760000 ,0.100000  ,0.058781  ,0.000000  ,16.582710 
60.000000 ,1.000000  ,25.520000 ,100.000000,0.100000  ,0.076717  ,0.000000  ,17.087225 
61.000000 ,0.000000  ,22.920000 ,90.090000 ,0.120000  ,0.063848  ,0.000000  ,15.784799 
62.000000 ,1.000000  ,25.600000 ,100.000000,0.120000  ,0.067369  ,0.000000  ,17.742541 
63.000000 ,1.000000  ,25.800000 ,100.000000,0.120000  ,0.059366  ,0.000000  ,17.633717 
64.000000 ,1.000000  ,25.680000 ,99.760000 ,0.120000  ,0.080698  ,0.000000  ,17.449766 
65.000000 ,1.000000  ,25.320000 ,99.760000 ,0.120000  ,0.086168  ,0.000000  ,16.673929 
66.000000 ,1.000000  ,25.600000 ,100.000000,0.120000  ,0.073094  ,0.000000  ,16.860079 
67.000000 ,1.000000  ,25.400000 ,100.000000,0.120000  ,0.083939  ,0.000000  ,17.183075 
68.000000 ,1.000000  ,25.560000 ,100.000000,0.120000  ,0.080211  ,0.000000  ,17.298810 
69.000000 ,0.000000  ,16.960000 ,65.850000 ,0.120000  ,0.079644  ,0.000000  ,11.089339 
70.000000 ,1.000000  ,26.040000 ,99.760000 ,0.120000  ,0.075242  ,0.000000  ,17.680305 
71.000000 ,1.000000  ,25.480000 ,100.000000,0.140000  ,0.064219  ,0.000000  ,17.173739 
72.000000 ,0.000000  ,19.520000 ,75.280000 ,0.140000  ,0.112885  ,0.000000  ,13.555245 
73.000000 ,1.000000  ,25.280000 ,100.000000,0.140000  ,0.093335  ,0.000000  ,17.306775 
74.000000 ,1.000000  ,25.680000 ,99.760000 ,0.140000  ,0.088743  ,0.000000  ,17.382998 
75.000000 ,1.000000  ,25.680000 ,99.760000 ,0.140000  ,0.082731  ,0.000000  ,17.581592 
76.000000 ,1.000000  ,25.200000 ,100.000000,0.140000  ,0.071715  ,0.000000  ,17.491078 
77.000000 ,1.000000  ,25.360000 ,100.000000,0.140000  ,0.090974  ,0.000000  ,16.917788 
78.000000 ,1.000000  ,25.440000 ,100.000000,0.140000  ,0.074942  ,0.000000  ,16.621792 
79.000000 ,0.000000  ,19.680000 ,74.660000 ,0.140000  ,0.076884  ,0.000000  ,13.299005 
80.000000 ,1.000000  ,25.360000 ,100.000000,0.140000  ,0.104545  ,0.000000  ,16.795223 
81.000000 ,1.000000  ,25.800000 ,100.000000,0.160000  ,0.093599  ,0.000000  ,17.404780 
82.000000 ,1.000000  ,25.680000 ,99.760000 ,0.160000  ,0.086234  ,0.000000  ,17.382380 
83.000000 ,1.000000  ,25.480000 ,100.000000,0.160000  ,0.124334  ,0.000000  ,17.531691 
84.000000 ,0.000000  ,17.400000 ,65.850000 ,0.160000  ,0.082693  ,0.000000  ,12.639852 
85.000000 ,1.000000  ,25.800000 ,100.000000,0.160000  ,0.105297  ,0.000000  ,17.481004 
86.000000 ,0.000000  ,19.320000 ,75.030000 ,0.160000  ,0.090675  ,0.000000  ,12.999141 
87.000000 ,1.000000  ,25.360000 ,99.760000 ,0.160000  ,0.097700  ,0.000000  ,17.316611 
88.000000 ,0.000000  ,11.880000 ,38.800000 ,0.160000  ,0.096051  ,0.000000  ,8.665554  
89.000000 ,1.000000  ,25.280000 ,100.000000,0.160000  ,0.102884  ,0.000000  ,17.158262 
90.000000 ,1.000000  ,25.480000 ,100.000000,0.160000  ,0.103659  ,0.000000  ,16.759844 
91.000000 ,1.000000  ,25.720000 ,100.000000,0.180000  ,0.089633  ,0.000000  ,17.503626 
92.000000 ,1.000000  ,25.920000 ,100.000000,0.180000  ,0.113017  ,0.000000  ,19.073688 
93.000000 ,1.000000  ,25.680000 ,100.000000,0.180000  ,0.111230  ,0.000000  ,17.537739 
94.000000 ,1.000000  ,25.360000 ,100.000000,0.180000  ,0.110734  ,0.000000  ,17.854236 
95.000000 ,1.000000  ,25.080000 ,100.000000,0.180000  ,0.106022  ,0.000000  ,16.219147 
96.000000 ,1.000000  ,25.200000 ,100.000000,0.180000  ,0.116307  ,0.000000  ,16.783233 
97.000000 ,1.000000  ,26.040000 ,99.760000 ,0.180000  ,0.099427  ,0.000000  ,17.355045 
98.000000 ,1.000000  ,25.920000 ,99.760000 ,0.180000  ,0.096041  ,0.000000  ,17.907172 
99.000000 ,0.000000  ,6.600000  ,26.320000 ,0.180000  ,0.115950  ,0.000000  ,3.911120  
100.000000,1.000000  ,27.080000 ,99.760000 ,0.180000  ,0.105603  ,0.000000  ,20.142633 
101.000000,1.000000  ,25.760000 ,100.000000,0.200000  ,0.113073  ,0.000000  ,16.700013 
102.000000,0.000000  ,19.360000 ,74.910000 ,0.200000  ,0.125514  ,0.000000  ,12.745633 
103.000000,1.000000  ,25.920000 ,100.000000,0.200000  ,0.130909  ,0.000000  ,17.463581 
104.000000,1.000000  ,25.960000 ,100.000000,0.200000  ,0.113977  ,0.000000  ,18.647331 
105.000000,1.000000  ,25.760000 ,99.760000 ,0.200000  ,0.152315  ,0.000000  ,17.147004 
106.000000,1.000000  ,25.640000 ,99.760000 ,0.200000  ,0.133463  ,0.000000  ,17.173851 
107.000000,1.000000  ,25.560000 ,99.760000 ,0.200000  ,0.133280  ,0.000000  ,17.348946 
108.000000,1.000000  ,25.400000 ,99.760000 ,0.200000  ,0.105131  ,0.000000  ,16.978948 
109.000000,1.000000  ,25.440000 ,100.000000,0.200000  ,0.103531  ,0.000000  ,16.500400 
110.000000,1.000000  ,25.520000 ,99.760000 ,0.200000  ,0.134132  ,0.000000  ,16.982729 
111.000000,1.000000  ,25.200000 ,100.000000,0.220000  ,0.117905  ,0.000000  ,16.807467 
112.000000,1.000000  ,25.400000 ,100.000000,0.220000  ,0.147410  ,0.000000  ,17.141918 
113.000000,1.000000  ,25.360000 ,99.760000 ,0.220000  ,0.174033  ,0.000000  ,16.982327 
114.000000,1.000000  ,25.600000 ,99.760000 ,0.220000  ,0.128231  ,0.000000  ,16.988494 
115.000000,1.000000  ,25.480000 ,99.760000 ,0.220000  ,0.124910  ,0.000000  ,16.980269 
116.000000,0.000000  ,22.880000 ,90.090000 ,0.220000  ,0.141732  ,0.000000  ,15.513886 
117.000000,1.000000  ,25.360000 ,99.760000 ,0.220000  ,0.163135  ,0.000000  ,16.534841 
118.000000,1.000000  ,25.280000 ,100.000000,0.220000  ,0.124436  ,0.000000  ,17.921030 
119.000000,1.000000  ,25.240000 ,99.760000 ,0.220000  ,0.154459  ,0.000000  ,16.974875 
120.000000,1.000000  ,25.600000 ,99.760000 ,0.220000  ,0.141583  ,0.000000  ,17.884721 
121.000000,1.000000  ,25.920000 ,100.000000,0.240000  ,0.145166  ,0.000000  ,17.627359 
122.000000,1.000000  ,25.520000 ,100.000000,0.240000  ,0.149294  ,0.000000  ,16.918842 
123.000000,1.000000  ,25.400000 ,99.760000 ,0.240000  ,0.151023  ,0.000000  ,17.766722 
124.000000,1.000000  ,25.760000 ,100.000000,0.240000  ,0.137894  ,0.000000  ,17.613328 
125.000000,1.000000  ,25.440000 ,100.000000,0.240000  ,0.161586  ,0.000000  ,17.393921 
126.000000,1.000000  ,26.400000 ,100.000000,0.240000  ,0.128431  ,0.000000  ,19.073933 
127.000000,1.000000  ,25.440000 ,99.760000 ,0.240000  ,0.130503  ,0.000000  ,17.608032 
128.000000,1.000000  ,25.400000 ,100.000000,0.240000  ,0.143668  ,0.000000  ,18.057528 
129.000000,1.000000  ,25.680000 ,99.760000 ,0.240000  ,0.182939  ,0.000000  ,17.098760 
130.000000,1.000000  ,25.440000 ,100.000000,0.240000  ,0.119959  ,0.000000  ,16.962101 
131.000000,0.000000  ,19.440000 ,74.910000 ,0.260000  ,0.162959  ,0.000000  ,13.190567 
132.000000,1.000000  ,25.280000 ,99.760000 ,0.260000  ,0.160177  ,0.000000  ,17.306896 
133.000000,1.000000  ,25.400000 ,100.000000,0.260000  ,0.155802  ,0.000000  ,17.611653 
134.000000,1.000000  ,25.920000 ,99.760000 ,0.260000  ,0.176162  ,0.000000  ,17.303080 
135.000000,1.000000  ,25.480000 ,99.760000 ,0.260000  ,0.144191  ,0.000000  ,16.985107 
136.000000,1.000000  ,25.600000 ,99.760000 ,0.260000  ,0.139636  ,0.000000  ,17.572369 
137.000000,1.000000  ,25.280000 ,100.000000,0.260000  ,0.157840  ,0.000000  ,17.432696 
138.000000,1.000000  ,25.480000 ,100.000000,0.260000  ,0.170864  ,0.000000  ,16.846741 
139.000000,1.000000  ,25.600000 ,99.760000 ,0.260000  ,0.149285  ,0.000000  ,17.404278 
140.000000,1.000000  ,25.480000 ,100.000000,0.260000  ,0.151083  ,0.000000  ,17.499825 
141.000000,1.000000  ,24.960000 ,99.760000 ,0.280000  ,0.147855  ,0.000000  ,16.793284 
142.000000,1.000000  ,25.840000 ,99.760000 ,0.280000  ,0.156596  ,0.000000  ,16.808149 
143.000000,1.000000  ,25.440000 ,100.000000,0.280000  ,0.182325  ,0.000000  ,16.923793 
144.000000,0.000000  ,19.360000 ,74.910000 ,0.280000  ,0.149262  ,0.000000  ,13.134040 
145.000000,1.000000  ,25.720000 ,99.760000 ,0.280000  ,0.164977  ,0.000000  ,17.611538 
146.000000,1.000000  ,25.360000 ,99.760000 ,0.280000  ,0.200916  ,0.000000  ,17.284981 
147.000000,1.000000  ,25.440000 ,99.760000 ,0.280000  ,0.147731  ,0.000000  ,17.509252 
148.000000,1.000000  ,25.560000 ,99.760000 ,0.280000  ,0.190865  ,0.000000  ,17.021188 
149.000000,1.000000  ,25.600000 ,99.760000 ,0.280000  ,0.145792  ,0.000000  ,17.877854 
150.000000,1.000000  ,25.240000 ,99.760000 ,0.280000  ,0.193677  ,0.000000  ,17.631560 
151.000000,1.000000  ,26.000000 ,99.760000 ,0.300000  ,0.173798  ,0.000000  ,18.201403 
152.000000,1.000000  ,25.600000 ,100.000000,0.300000  ,0.181587  ,0.000000  ,17.297518 
153.000000,0.000000  ,19.240000 ,74.790000 ,0.300000  ,0.174499  ,0.000000  ,13.220600 
154.000000,0.000000  ,7.040000  ,26.070000 ,0.300000  ,0.173597  ,0.000000  ,4.401221  
155.000000,1.000000  ,25.520000 ,99.760000 ,0.300000  ,0.173871  ,0.000000  ,17.015179 
156.000000,1.000000  ,25.520000 ,99.760000 ,0.300000  ,0.255448  ,0.000000  ,17.276644 
157.000000,1.000000  ,26.200000 ,99.760000 ,0.300000  ,0.184839  ,0.000000  ,18.066921 
158.000000,1.000000  ,25.520000 ,99.760000 ,0.300000  ,0.168492  ,0.000000  ,16.967220 
159.000000,1.000000  ,25.400000 ,100.000000,0.300000  ,0.164593  ,0.000000  ,17.117282 
160.000000,1.000000  ,25.760000 ,99.760000 ,0.300000  ,0.174393  ,0.000000  ,18.029068 
161.000000,1.000000  ,25.360000 ,100.000000,0.320000  ,0.210359  ,0.000000  ,17.952293 
162.000000,1.000000  ,25.920000 ,99.760000 ,0.320000  ,0.171264  ,0.000000  ,17.677072 
163.000000,1.000000  ,25.120000 ,100.000000,0.320000  ,0.223049  ,0.000000  ,16.593887 
164.000000,1.000000  ,25.320000 ,99.760000 ,0.320000  ,0.186396  ,0.000000  ,17.981906 
165.000000,1.000000  ,25.520000 ,99.760000 ,0.320000  ,0.200913  ,0.000000  ,16.938436 
166.000000,0.000000  ,18.120000 ,65.730000 ,0.320000  ,0.211740  ,0.000000  ,13.167871 
167.000000,1.000000  ,25.480000 ,100.000000,0.320000  ,0.228518  ,0.000000  ,17.440200 
168.000000,0.000000  ,19.400000 ,74.660000 ,0.320000  ,0.186569  ,0.000000  ,13.432847 
169.000000,1.000000  ,26.200000 ,100.000000,0.320000  ,0.176760  ,0.000000  ,17.664326 
170.000000,1.000000  ,25.720000 ,99.760000 ,0.320000  ,0.212568  ,0.000000  ,17.360405 
171.000000,1.000000  ,25.280000 ,99.760000 ,0.340000  ,0.180751  ,0.000000  ,17.011108 
172.000000,1.000000  ,25.560000 ,100.000000,0.340000  ,0.193339  ,0.000000  ,16.894495 
173.000000,1.000000  ,25.360000 ,99.760000 ,0.340000  ,0.192305  ,0.000000  ,16.956894 
174.000000,1.000000  ,25.560000 ,99.760000 ,0.340000  ,0.211244  ,0.000000  ,17.013663 
175.000000,1.000000  ,25.400000 ,100.000000,0.340000  ,0.200303  ,0.000000  ,16.576859 
176.000000,0.000000  ,19.040000 ,75.030000 ,0.340000  ,0.219484  ,0.000000  ,12.704888 
177.000000,1.000000  ,25.360000 ,99.760000 ,0.340000  ,0.169759  ,0.000000  ,16.369447 
178.000000,1.000000  ,25.560000 ,99.760000 ,0.340000  ,0.204146  ,0.000000  ,17.275819 
179.000000,1.000000  ,25.480000 ,100.000000,0.340000  ,0.172979  ,0.000000  ,17.612725 
180.000000,1.000000  ,25.520000 ,100.000000,0.340000  ,0.230038  ,0.000000  ,17.419891 
181.000000,1.000000  ,25.600000 ,99.760000 ,0.360000  ,0.218312  ,0.000000  ,17.403107 
182.000000,1.000000  ,25.520000 ,99.760000 ,0.360000  ,0.224356  ,0.000000  ,16.581502 
183.000000,0.000000  ,19.080000 ,75.150000 ,0.360000  ,0.211514  ,0.000000  ,12.832461 
184.000000,1.000000  ,25.640000 ,100.000000,0.360000  ,0.205681  ,0.000000  ,16.635768 
185.000000,1.000000  ,25.320000 ,99.760000 ,0.360000  ,0.233701  ,0.000000  ,17.172871 
186.000000,1.000000  ,25.320000 ,100.000000,0.360000  ,0.204720  ,0.000000  ,17.385724 
187.000000,0.000000  ,19.200000 ,75.150000 ,0.360000  ,0.217105  ,0.000000  ,12.745866 
188.000000,1.000000  ,25.680000 ,99.760000 ,0.360000  ,0.269745  ,0.000000  ,17.535067 
189.000000,1.000000  ,25.760000 ,99.760000 ,0.360000  ,0.318066  ,0.000000  ,17.201644 
