# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.438319 
2.000000  ,1.000000  ,26.200000 ,100.000000,10.000000 ,0.000000  ,0.000000  ,17.679312 
3.000000  ,1.000000  ,25.600000 ,100.000000,20.000000 ,0.000000  ,0.000000  ,17.005106 
4.000000  ,1.000000  ,26.640000 ,99.760000 ,30.000000 ,0.000000  ,0.000000  ,19.287521 
5.000000  ,1.000000  ,25.560000 ,100.000000,40.000000 ,0.000000  ,0.000000  ,17.611644 
6.000000  ,0.000000  ,17.280000 ,65.970000 ,50.000000 ,0.000000  ,0.000000  ,11.732501 
7.000000  ,0.000000  ,18.600000 ,65.730000 ,60.000000 ,0.000000  ,0.000000  ,15.626794 
8.000000  ,0.000000  ,17.760000 ,65.730000 ,70.000000 ,0.000000  ,0.000000  ,13.476537 
9.000000  ,0.000000  ,19.400000 ,62.910000 ,80.000000 ,0.000000  ,0.000000  ,14.356177 
10.000000 ,1.000000  ,26.560000 ,99.760000 ,90.000000 ,0.000000  ,0.000000  ,18.845380 
