# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,0.000000  ,2.840000  ,6.240000  ,0.000000  ,0.000000  ,0.000000  ,1.563049  
2.000000  ,0.000000  ,2.840000  ,6.240000  ,10.000000 ,0.000000  ,0.000000  ,1.566279  
3.000000  ,0.000000  ,2.840000  ,6.240000  ,20.000000 ,0.000000  ,0.000000  ,1.651221  
4.000000  ,0.000000  ,2.840000  ,6.240000  ,30.000000 ,0.000000  ,0.000000  ,1.492640  
5.000000  ,0.000000  ,2.840000  ,6.240000  ,40.000000 ,0.000000  ,0.000000  ,1.514220  
6.000000  ,0.000000  ,2.840000  ,6.240000  ,50.000000 ,0.000000  ,0.000000  ,1.506751  
7.000000  ,0.000000  ,2.840000  ,6.240000  ,60.000000 ,0.000000  ,0.000000  ,1.492554  
8.000000  ,0.000000  ,2.840000  ,6.240000  ,70.000000 ,0.000000  ,0.000000  ,1.631079  
9.000000  ,0.000000  ,2.840000  ,6.240000  ,80.000000 ,0.000000  ,0.000000  ,1.663462  
10.000000 ,0.000000  ,2.840000  ,6.240000  ,90.000000 ,0.000000  ,0.000000  ,1.670452  
