# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,0.000000  ,2.840000  ,6.240000  ,0.000000  ,0.000000  ,0.000000  ,1.562525  
2.000000  ,0.000000  ,2.280000  ,6.120000  ,10.000000 ,0.000000  ,0.000000  ,1.355544  
3.000000  ,0.000000  ,2.280000  ,6.120000  ,20.000000 ,0.000000  ,0.000000  ,1.234065  
4.000000  ,0.000000  ,2.280000  ,6.120000  ,30.000000 ,0.000000  ,0.000000  ,1.215369  
5.000000  ,0.000000  ,2.280000  ,6.120000  ,40.000000 ,0.000000  ,0.000000  ,1.182136  
6.000000  ,0.000000  ,2.080000  ,6.000000  ,50.000000 ,0.000000  ,0.000000  ,1.278073  
7.000000  ,0.000000  ,2.280000  ,6.240000  ,60.000000 ,0.000000  ,0.000000  ,1.303914  
8.000000  ,0.000000  ,2.120000  ,6.000000  ,70.000000 ,0.000000  ,0.000000  ,1.049420  
9.000000  ,0.000000  ,2.280000  ,6.120000  ,80.000000 ,0.000000  ,0.000000  ,1.132640  
10.000000 ,0.000000  ,2.120000  ,6.000000  ,90.000000 ,0.000000  ,0.000000  ,0.984639  
