# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.308016 
2.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.308686 
3.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.290220 
4.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.338655 
5.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.351891 
6.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.335361 
7.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.329173 
8.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.372859 
9.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.274089 
10.000000 ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.299620 
11.000000 ,1.000000  ,25.320000 ,99.760000 ,0.020000  ,0.000000  ,0.000000  ,16.319292 
12.000000 ,1.000000  ,26.400000 ,100.000000,0.020000  ,0.014494  ,0.000000  ,19.606090 
13.000000 ,1.000000  ,25.160000 ,100.000000,0.020000  ,0.010648  ,0.000000  ,16.326095 
14.000000 ,1.000000  ,25.280000 ,100.000000,0.020000  ,0.011239  ,0.000000  ,16.639536 
15.000000 ,0.000000  ,19.480000 ,74.910000 ,0.020000  ,0.011908  ,0.000000  ,12.519986 
16.000000 ,1.000000  ,25.360000 ,99.760000 ,0.020000  ,0.013791  ,0.000000  ,16.719830 
17.000000 ,1.000000  ,25.520000 ,100.000000,0.020000  ,0.012111  ,0.000000  ,17.235117 
18.000000 ,1.000000  ,25.520000 ,99.760000 ,0.020000  ,0.013972  ,0.000000  ,16.635036 
19.000000 ,1.000000  ,25.920000 ,100.000000,0.020000  ,0.011762  ,0.000000  ,17.725265 
20.000000 ,1.000000  ,25.520000 ,100.000000,0.020000  ,0.011356  ,0.000000  ,17.195860 
21.000000 ,1.000000  ,26.160000 ,100.000000,0.040000  ,0.014282  ,0.000000  ,18.050937 
22.000000 ,1.000000  ,25.440000 ,99.760000 ,0.040000  ,0.024002  ,0.000000  ,17.372896 
23.000000 ,1.000000  ,25.560000 ,99.760000 ,0.040000  ,0.029248  ,0.000000  ,17.642345 
24.000000 ,1.000000  ,25.560000 ,99.760000 ,0.040000  ,0.022482  ,0.000000  ,16.486393 
25.000000 ,1.000000  ,25.440000 ,99.760000 ,0.040000  ,0.023716  ,0.000000  ,16.473181 
26.000000 ,1.000000  ,25.720000 ,100.000000,0.040000  ,0.019905  ,0.000000  ,17.499698 
27.000000 ,1.000000  ,25.600000 ,99.760000 ,0.040000  ,0.025489  ,0.000000  ,17.092185 
28.000000 ,0.000000  ,17.280000 ,65.730000 ,0.040000  ,0.028153  ,0.000000  ,12.116753 
29.000000 ,1.000000  ,26.240000 ,100.000000,0.040000  ,0.025587  ,0.000000  ,17.260485 
30.000000 ,1.000000  ,25.440000 ,99.760000 ,0.040000  ,0.024712  ,0.000000  ,17.004503 
31.000000 ,1.000000  ,25.280000 ,99.760000 ,0.060000  ,0.020096  ,0.000000  ,17.799975 
32.000000 ,1.000000  ,25.400000 ,99.760000 ,0.060000  ,0.032625  ,0.000000  ,17.250336 
33.000000 ,0.000000  ,18.960000 ,74.910000 ,0.060000  ,0.035191  ,0.000000  ,12.061171 
34.000000 ,1.000000  ,25.680000 ,100.000000,0.060000  ,0.038169  ,0.000000  ,16.788647 
35.000000 ,1.000000  ,25.480000 ,100.000000,0.060000  ,0.037912  ,0.000000  ,16.895759 
36.000000 ,1.000000  ,25.360000 ,99.760000 ,0.060000  ,0.040102  ,0.000000  ,16.973511 
37.000000 ,1.000000  ,25.520000 ,99.760000 ,0.060000  ,0.041187  ,0.000000  ,16.733805 
38.000000 ,0.000000  ,19.600000 ,74.790000 ,0.060000  ,0.042512  ,0.000000  ,13.371240 
39.000000 ,1.000000  ,25.720000 ,100.000000,0.060000  ,0.033945  ,0.000000  ,16.677808 
40.000000 ,1.000000  ,26.000000 ,100.000000,0.060000  ,0.034606  ,0.000000  ,18.502921 
41.000000 ,1.000000  ,25.560000 ,99.760000 ,0.080000  ,0.035870  ,0.000000  ,17.486480 
42.000000 ,1.000000  ,25.640000 ,99.760000 ,0.080000  ,0.050051  ,0.000000  ,17.078229 
43.000000 ,1.000000  ,25.280000 ,100.000000,0.080000  ,0.051346  ,0.000000  ,16.820809 
44.000000 ,1.000000  ,26.120000 ,100.000000,0.080000  ,0.039722  ,0.000000  ,18.777610 
45.000000 ,1.000000  ,25.280000 ,99.760000 ,0.080000  ,0.044193  ,0.000000  ,16.267577 
46.000000 ,1.000000  ,25.480000 ,100.000000,0.080000  ,0.041226  ,0.000000  ,17.162427 
47.000000 ,1.000000  ,25.440000 ,100.000000,0.080000  ,0.047998  ,0.000000  ,16.267159 
48.000000 ,1.000000  ,25.880000 ,100.000000,0.080000  ,0.047660  ,0.000000  ,17.451705 
49.000000 ,1.000000  ,25.480000 ,100.000000,0.080000  ,0.043246  ,0.000000  ,17.210685 
50.000000 ,1.000000  ,25.560000 ,99.760000 ,0.080000  ,0.049597  ,0.000000  ,17.290462 
51.000000 ,1.000000  ,25.440000 ,99.760000 ,0.100000  ,0.047287  ,0.000000  ,17.194230 
52.000000 ,1.000000  ,25.440000 ,99.760000 ,0.100000  ,0.063161  ,0.000000  ,16.460261 
53.000000 ,1.000000  ,25.720000 ,100.000000,0.100000  ,0.057645  ,0.000000  ,16.938981 
54.000000 ,1.000000  ,25.360000 ,99.760000 ,0.100000  ,0.061426  ,0.000000  ,16.919998 
55.000000 ,1.000000  ,25.240000 ,99.760000 ,0.100000  ,0.053422  ,0.000000  ,17.144347 
56.000000 ,1.000000  ,25.480000 ,100.000000,0.100000  ,0.061723  ,0.000000  ,16.929917 
57.000000 ,0.000000  ,19.480000 ,74.910000 ,0.100000  ,0.063847  ,0.000000  ,12.654695 
